species,n,high_n,low_n,low_rate,low_risk_n,medium_risk_n,high_risk_n,high_risk_rate,mean_p_low_accuracy,median_p_low_accuracy,status_mode,median_year,median_distance_m,median_strahler,candidate_score
Cambarus reduncus,190,190,0,0.0,160,30,0,0.0,0.06835615412418761,0.056452237298295405,Native,1987.0,73.89906894500001,2.0,2
Cambarus asperimanus,189,189,0,0.0,155,34,0,0.0,0.0562413167282044,0.0406143375542266,Native,1995.0,47.85098591,2.0,2
Cambarus appalachiensis,180,180,0,0.0,160,20,0,0.0,0.05029880322727216,0.03591583270190095,Native,1998.0,40.799217445,4.0,2
Faxonius palmeri,169,169,0,0.0,120,49,0,0.0,0.08708729916050068,0.0540746610383162,Native,1996.0,48.53691381,3.0,2
Faxonius putnami,163,163,0,0.0,163,0,0,0.0,0.021451161377578316,0.0173193978098475,Native,1989.0,42.31634567,4.0,2
Cambarus chasmodactylus,152,152,0,0.0,142,9,1,0.006578947368421052,0.04179287091186488,0.0274598407932753,Native,1998.0,39.486744035,4.0,2
Faxonius meeki,148,148,0,0.0,145,3,0,0.0,0.03300539771769058,0.027039094350793248,Native,2004.0,33.979389749999996,3.0,2
Cambarus girardianus,144,144,0,0.0,143,1,0,0.0,0.0186705212882167,0.0143610740056982,Native,2005.0,39.307468265,4.0,2
Faxonius palmeri longimanus,126,126,0,0.0,110,16,0,0.0,0.061152275985833934,0.040434322327600594,Native,1974.5,55.136411800000005,2.0,2
Procambarus acutissimus,121,121,0,0.0,115,6,0,0.0,0.04918490532800459,0.0426622273799795,Native,1971.0,71.62890657,2.0,2
Cambarus coosae,119,119,0,0.0,118,1,0,0.0,0.03584785407728361,0.0311940869537168,Native,2002.0,51.92811225,4.0,2
Faxonius illinoiensis,119,119,0,0.0,109,10,0,0.0,0.04861090314420511,0.0365262801052922,Native,1999.0,44.61470647,4.0,2
Cambarus sphenoides,116,116,0,0.0,115,1,0,0.0,0.020371683073929635,0.0150248910362782,Native,1974.0,40.943326005,3.0,2
Cambarus graysoni,115,115,0,0.0,111,4,0,0.0,0.023960992532515418,0.0161524319301345,Native,1995.0,43.07165841,4.0,2
Faxonius juvenilis,111,111,0,0.0,103,6,2,0.018018018018018018,0.04120319202829535,0.0181782671654708,Native,1995.0,50.64708333,4.0,2
Cambarus johni,104,104,0,0.0,104,0,0,0.0,0.03717821998915808,0.03449219877234615,Native,2003.0,45.922917479999995,4.0,2
Cambarus distans,101,101,0,0.0,101,0,0,0.0,0.018461483236889967,0.0143290203625874,Native,2005.0,40.36382173,3.0,2
Faxonius durelli,101,101,0,0.0,100,1,0,0.0,0.018579986609406917,0.013893295573777,Native,1995.0,38.1399197,4.0,2
Procambarus virginalis,280,269,11,0.039285714285714285,37,175,68,0.24285714285714285,0.35678075975426704,0.3492956632800572,Alien,2019.0,70.608082315,2.0,1
Lacunicambarus ludovicianus,151,151,0,0.0,81,68,2,0.013245033112582781,0.11854185228747607,0.0827789802862655,Native,2008.0,104.5484436,1.0,1
Procambarus simulans,129,129,0,0.0,49,80,0,0.0,0.13006856180102602,0.1175918721711643,Native,1975.0,82.20860032,2.0,1
Faxonella clypeata,126,126,0,0.0,80,46,0,0.0,0.0918577105735717,0.0632461538316637,Native,1984.5,112.08770075000001,1.0,1
Cambarellus (Pandicambarus) shufeldtii,124,124,0,0.0,22,98,4,0.03225806451612903,0.20032115505171308,0.19633835053669452,Native,1979.0,83.53019272,1.0,1
Faxonius nais,122,122,0,0.0,72,50,0,0.0,0.09698923843495573,0.08255714283789764,Native,1993.0,52.382339305,5.0,1
Faxonius carolinensis,119,119,0,0.0,74,45,0,0.0,0.09251501026904484,0.0739823144209582,Native,1995.0,51.46844299,5.0,1
Faxonius neglectus neglectus,113,113,0,0.0,93,14,6,0.05309734513274336,0.0973935449330291,0.037956512918892,Native,1972.0,49.74312318,4.0,1
Austropotamobius bihariensis,104,104,0,0.0,0,83,21,0.20192307692307693,0.37153473121746994,0.3352836941326204,Native,2020.0,75.02156279,3.0,1
Cambarus halli,101,101,0,0.0,94,7,0,0.0,0.044153476625609554,0.0334111038668678,Native,2013.0,45.83537965,4.0,1
