feature,importance_all,importance_remove_high_risk,importance_weighted
l_LAC16,1.0377479891396558e-19,6.265238667576326e-20,4.020594867229367e-20
l_LAC17,0.0,0.0,0.0
l_LAC18,2.5550396644123377e-06,7.203361382142934e-19,5.746862315686579e-09
l_LAC19,0.00042893141938816104,0.0008807876774443435,0.0008048281898171667
l_LAC2,8.023979221962065e-05,6.788810723365216e-06,5.94032496600016e-05
l_LAC20,1.6573274774957638e-07,4.666534045632965e-20,6.779808632522552e-07
l_LAC21,0.00010446297989908481,0.0001046801458094219,0.0001071257718587426
l_LAC22,0.0,0.0,0.0
l_LAC3,0.00022884085550040054,0.0002854084007203284,0.0003289632174843575
l_LAC4,4.986906643966351e-05,4.717728574679096e-06,6.664366978273013e-06
l_LAC5,0.0,6.049599170520206e-19,1.349410273772071e-20
l_LAC6,0.000204020011239725,7.334442154546391e-05,0.00015491420829113255
l_LAC7,0.00014064779425671282,0.00016720804706410702,0.0001676772029690209
l_LAC8,2.5252952074041944e-20,2.866219225400344e-19,0.0
l_LAC9,6.110830237317038e-05,3.461119063738707e-05,8.476523965501992e-05
l_SOL1,0.0006209272058925,0.0010593184863916631,0.0007277720215772866
l_SOL10,0.0015095617904071071,0.0008359773901792565,0.0007277188059532502
l_SOL11,0.0032718305015855143,0.0019244719652269722,0.0014939070459011302
l_SOL12,0.0004047966295105487,0.00032179346913803556,0.0004642887247888747
l_SOL13,0.0004898104336741864,0.000738617020502033,0.0004991171402194084
l_SOL14,0.0005762756106065136,0.0006155897231956307,0.00043709016227027513
l_SOL15,0.0005933457790122875,0.0011466134293491729,0.001101312299670106
l_SOL16,0.00034447933486097317,0.00031800452585034746,0.00041289811349994943
l_SOL17,0.00037157985595160856,0.0005564822625786078,0.00035339471812431
l_SOL18,0.0005097558142025254,0.0002934207560257148,0.0005455382511396423
l_SOL19,0.0009194950824798107,0.00048705819569783506,0.0007977464639776449
l_SOL2,0.0008717222140660584,0.0009859667099297658,0.000687212295311178
l_SOL20,0.00032320774635851573,0.00025286933441363916,0.0004579274714621853
l_SOL21,0.002099929057766476,0.001083251461276366,0.0007956950279991677
l_SOL22,0.000952531063114387,0.0006773024023796293,0.0007569196395396846
l_SOL23,0.001942011169167692,0.0017307648116585497,0.001166556777656189
l_SOL24,0.0002835504543982642,0.00020522321992610132,0.0003617520043172223
l_SOL25,0.0035230175417170933,0.0010342153890169326,0.0012416364505912164
l_SOL26,0.0011315219854031373,0.0017367696782294012,0.0017914590511475617
l_SOL27,0.00466674468496583,0.001553829809786608,0.0016991254521392203
l_SOL28,0.0005540689599898176,0.00025973965624772444,0.0004830619777839612
l_SOL29,0.0010502925264340777,0.0012435730401469981,0.0011161727231329976
l_SOL3,0.0013116564643250047,0.0021585426539720604,0.0015897695103496662
l_SOL30,0.0009447911884221893,0.0006750965957006113,0.0008855015308767171
l_SOL31,0.001550786923542542,0.0014466999906084142,0.0015065747641609096
l_SOL32,0.0002956904214167172,0.0002422712064565958,0.0003237376897312964
l_SOL33,0.0026131970954137926,0.0013848213618866951,0.002563733918554022
l_SOL34,0.008683333946645036,0.0026653787640832085,0.0031343262606404413
l_SOL35,0.00695202910931154,0.0030436390729348664,0.0036959276375455085
l_SOL36,0.002726696832685198,0.0005539286767724128,0.0005750499706309782
l_SOL37,0.00039660519735217693,0.00032903397819799884,0.0004065329850645153
l_SOL38,0.0019383875345669304,0.0008357097774773612,0.0009652443049223869
l_SOL39,0.0014079908252935505,0.00046758370389379247,0.0006346524261841431
l_SOL4,0.0002974576249533285,0.0001889515817965236,0.00027393689132821497
l_SOL40,0.0005865661002651467,0.0008315966795833198,0.0004913249903985248
l_SOL41,0.001258019516537978,0.00151560352381115,0.0008873032967575129
l_SOL42,0.0010065863939846388,0.0012124865706732372,0.0012792017619934022
l_SOL43,0.001466867534507041,0.001521152410264532,0.0014120126717302257
l_SOL44,0.00026986870418135617,0.0002699131897004029,0.00035427180078344885
l_SOL45,0.0002594747739370403,9.664148093648877e-05,8.104618064109416e-05
l_SOL46,0.0003096199711885848,0.0004918152836604795,0.00041351840498795987
l_SOL47,0.000609956201325686,0.0003887799131198275,0.0005547418446014917
l_SOL48,0.00011293100020950363,7.055227879918179e-05,0.00013990496697424842
l_SOL49,0.0,0.0,0.0
l_SOL5,0.0003698439515209513,0.0008837275180690174,0.00037962497182611834
l_SOL50,8.328707990749852e-20,4.463368212057652e-19,2.911905051580438e-20
l_SOL51,3.873930973868652e-19,2.274268416870858e-20,1.0430599507208451e-19
l_SOL52,0.0,5.830974107105647e-20,4.996363984938577e-18
l_SOL53,7.066911042854371e-05,0.0001426431022661716,0.00012993830222164546
l_SOL54,2.4442979884627548e-05,8.974056583042743e-06,3.1231171511776176e-05
l_SOL55,9.195627251894556e-05,0.00023597887959654536,0.00011569583682713261
l_SOL56,9.386040000281937e-05,0.00014696007167337024,0.00014529361138089535
l_SOL57,0.0004357505127527554,0.00056542852541535,0.0004045917375769756
l_SOL58,0.0005111924007198894,0.0003217002606329017,0.000412080951675272
l_SOL59,0.0010235524940075383,0.0007226319297260053,0.000724865066589181
l_SOL6,0.00040218187229586037,0.0004894186641684078,0.0003490200968289738
l_SOL60,0.00038298384082926775,0.0002541630013977254,0.0004345527453099161
l_SOL7,0.0010968679878934553,0.0012664844472046082,0.0009301977593151016
l_SOL8,0.00028348006061247583,0.0002983223674490261,0.0003438864639745229
l_SOL9,0.0016078409145192467,0.0009709202287114853,0.0011760928816322016
l_TOP1,0.00032229278619279507,0.00045111259994731496,0.0003987696776164821
l_TOP10,0.00024464615579222,0.00034487129146189906,0.00024074898058434722
l_TOP100,0.00021782682675799498,0.00018299645750449983,0.0002830256839629317
l_TOP101,0.006265512559631575,0.003015462211213909,0.0032134951112686495
l_TOP102,0.04339902834584144,0.0222817581541564,0.027224500253329918
l_TOP103,0.00033803908286882144,0.00034568006174768537,0.000457455986093302
l_TOP104,0.0009802390404280118,0.0006211855421523999,0.0006693290005159745
l_TOP105,0.00017896156867868338,0.00012314510374551436,0.00016731559880890895
l_TOP106,0.00011286328324950377,0.00020290464584492033,0.00017972766524909062
l_TOP107,0.00018774763786650833,0.00019251943275308848,0.00022631408033631082
l_TOP108,0.0003416611374802045,0.0005227140882016683,0.0003372305353497776
l_TOP109,0.0029531986597038187,0.002361849928826269,0.003109054506606221
l_TOP11,0.0003703032571209033,0.0004982312166915918,0.00036236344123541766
l_TOP110,0.0002108782198389321,0.00015185653035219374,0.000302904116819491
l_TOP111,0.00021394882129004174,0.00021431360770990282,0.0003201337511654016
l_TOP112,0.00042022035039859833,0.0004363509705058124,0.0005126517615672003
l_TOP113,0.00037142324539602773,0.0006120577345804584,0.0005567887140757269
l_TOP114,0.0035420819268288726,0.0028603252454652865,0.0026744117768962915
l_TOP115,0.002023465373468669,0.0013008519400932634,0.001952864293583434
l_TOP116,0.0026564025139847575,0.0012524269669287288,0.001822344224163488
l_TOP117,0.000260099413530292,0.00033145253245270707,0.0002908078454665372
l_TOP118,0.0002141884041544788,0.00014738042044329237,0.00026429635027876104
l_TOP119,0.0002865550650690148,0.00029044494584895287,0.00037084566655883375
l_TOP12,0.00036267856955192804,0.0005948621108357432,0.0004705833022263296
l_TOP120,0.002319282240021476,0.0014272423833273354,0.0017364719501039227
l_TOP121,0.0020590459490791723,0.001034199272439321,0.0016607678715978946
l_TOP122,0.001859823784868237,0.0013537656519117985,0.0015448179187673142
l_TOP123,0.00038027904680526086,0.0004039279751471666,0.0004793957938989769
l_TOP124,0.0006402517175398123,0.00043187773938185945,0.0006307086540901328
l_TOP125,0.0006330160473615829,0.0007030406173973028,0.0008060428261316947
l_TOP126,0.0005609622400918319,0.0007756294735326001,0.0008806627067368593
l_TOP127,0.00039932812885435265,0.0004191530631913299,0.00048101415659225553
l_TOP128,0.0006647556053572059,0.0009604853174605075,0.0010566687241141581
l_TOP129,0.0006154867118978059,0.0008459353323074162,0.000822686528719116
l_TOP13,9.403593482230959e-05,5.2147845143652734e-05,0.00011130807480596219
l_TOP130,0.0005381513057850794,0.0009886004612088399,0.0008200366141782675
l_TOP131,0.00032399809387507594,0.0003686261165297916,0.0005145234656536104
l_TOP132,0.0005254914719177118,0.0008912020799092292,0.0006670343516160231
l_TOP133,2.1345342643880953e-05,3.107888307472506e-05,9.507608284065813e-06
l_TOP134,0.0004164181980268907,0.0005486111661908473,0.0005307195339617816
l_TOP135,0.0005493882079416433,0.0007514213761945689,0.0006396570539937393
l_TOP136,0.0005750345638699256,0.0006264189565506781,0.0007175902430628377
l_TOP137,0.00019736162137711516,0.0003326658512528239,0.0001929188186742006
l_TOP138,0.00043697558606444034,0.00036559764281675615,0.00046148763265166316
l_TOP139,0.0005645623125986706,0.0008525805173036072,0.0005908235671639112
l_TOP14,0.0002707661738763134,0.0003390508327960281,0.00043725215527985853
l_TOP140,0.00044964319908538425,0.0005794811709636346,0.000505818938290775
l_TOP141,0.00034191623003673234,0.0007275322334909809,0.0004655298869184185
l_TOP142,0.00045574914147580804,0.0007222865089948833,0.0006035498509954779
l_TOP143,0.00030721299223875883,0.00034019902896084003,0.00040810825818129033
l_TOP144,0.00038307869854312826,0.0005592570092874979,0.0004052702123693047
l_TOP15,0.0004174344825690424,0.0004748614149005439,0.00041950717418153026
l_TOP16,0.0003340320844048138,0.0005571818742432822,0.0005192906832522345
l_TOP17,0.0,0.0,0.0
l_TOP18,0.00024366388881131277,0.0002320790722177212,0.00032115370992027563
l_TOP19,0.0002726817532887764,0.00022211251174991415,0.0003952742104281697
l_TOP2,0.00034514253835850756,0.000506251236495564,0.0004296396221337848
l_TOP20,0.00027116194412854484,0.00026632692281129407,0.0003702715209763835
l_TOP21,0.0,0.0,0.0
l_TOP22,0.0003959802816879835,0.0005058135201649063,0.0006254061813043011
l_TOP23,0.0003873848607762609,0.0004755542788821698,0.0005246404180324566
l_TOP24,0.0003726220205557408,0.0006660413899406651,0.0005359360001343833
l_TOP25,0.0,0.0,0.0
l_TOP26,0.0002794401491654968,0.0002287703515932075,0.00031118933159653025
l_TOP27,0.00028883002051898366,0.00023684899949346868,0.0003744797017713167
l_TOP28,0.0003084440998284016,0.0002607421815704746,0.0003932979921858172
l_TOP29,0.002970145726373657,0.0029912545793278475,0.0027868584491085617
l_TOP3,0.0003724910502414684,0.00033566912596354886,0.0004616585479342222
l_TOP30,0.0028204133224934177,0.0026291000375744744,0.0027243183564703297
l_TOP31,0.003543589104974663,0.0035959217033196635,0.002999599027261183
l_TOP32,0.0003121005392870765,0.0002606998344184477,0.00035926259870129335
l_TOP33,0.0,0.0,0.0
l_TOP34,0.0002558106954178622,0.00024798870267556144,0.00031033099274610027
l_TOP35,0.0002478020132133533,0.00026313115961571664,0.0003088658901587542
l_TOP36,0.00023685776241500704,0.00023174898362392818,0.00036212961393594195
l_TOP37,0.0,0.0,0.0
l_TOP38,0.00030071489254086033,0.00020942834151201862,0.00030965328147965237
l_TOP39,0.000297556138461308,0.0002636365909144996,0.00037166011006641226
l_TOP4,0.00039077738618226995,0.0004825622469699577,0.00046993845757152005
