feature,importance_all,importance_remove_high_risk,importance_weighted
l_SOL37,0.0013512423066204436,0.002096931139512092,0.001917729067462249
l_SOL38,0.002424455633564084,0.002767635597493006,0.0032084854653948837
l_SOL39,0.0015124159040252928,0.0026488760650274826,0.0023174896658742184
l_SOL4,0.0004941837852571345,0.0002864638098536682,0.0004165014110056727
l_SOL40,0.0007398129606605699,0.0005365447005393563,0.0007979053747342491
l_SOL41,0.0014326514169494939,0.0009389053828180876,0.001307305442681983
l_SOL42,0.001252017192867269,0.0008921298342171454,0.0011828503862524773
l_SOL43,0.0018601993330844583,0.0013097359463732975,0.0018212233567671255
l_SOL44,0.0003641734278927798,0.00025393492169365986,0.00037175500391548966
l_SOL45,0.00017583073922433843,0.0003110467261443493,0.0002227378447213371
l_SOL46,0.0005750686293864692,0.0005555859479454709,0.0011050107208056413
l_SOL47,0.0008960168119855136,0.0007494054205201982,0.0010380756453771997
l_SOL48,0.00017023828164878277,6.545755875778358e-05,0.00015009660436017625
l_SOL49,0.0,2.400499237661665e-20,0.0
l_SOL5,0.0013932778044453286,0.0010968744288405111,0.0009174914369495385
l_SOL50,1.7391112845777272e-20,0.0,0.0
l_SOL51,3.588410518059048e-21,9.728551980043178e-19,2.8088298554800514e-19
l_SOL52,4.348261403852619e-19,6.684090938302239e-21,1.9642734384745824e-20
l_SOL53,0.00015063482929223235,0.00010306474973449663,9.412317058196912e-05
l_SOL54,2.2146677730529515e-05,2.943317864805407e-05,1.956185694185255e-05
l_SOL55,0.00027785544860017494,0.00011761799848575187,0.00012881851403175973
l_SOL56,0.00013621515309971227,0.0001028202999320987,6.78470932981851e-05
l_SOL57,0.0027180107717242226,0.003644012813773489,0.003463354471148331
l_SOL58,0.0019900652870334747,0.002325326956450197,0.002277909682222427
l_SOL59,0.00409223012083036,0.004160092863071907,0.00447907729211747
l_SOL6,0.0007068877063108427,0.0007761086639441787,0.0007870832919973187
l_SOL60,0.0005733267549768268,0.00023043781207358153,0.00032996852970769
l_SOL7,0.002157188142147827,0.002132853273800944,0.001979440157126551
l_SOL8,0.0006064538814325029,0.00032366561307259703,0.0005286864261015903
l_SOL9,0.0011815275250853874,0.0010818807142213107,0.0013423267016237823
l_TOP1,0.0006444359370008322,0.00042666936949695475,0.00040671169789634437
l_TOP10,0.0005599185472505062,0.00026271406559130793,0.00032329091044426404
l_TOP100,0.00033990532306252334,0.00018172670852713684,0.0002953245034985097
l_TOP101,0.005919984354435462,0.002967851163994407,0.004486193004434743
l_TOP102,0.030461988393303593,0.02285626561254727,0.023913586067494587
l_TOP103,0.0006520417976692324,0.00043141332797705774,0.000532962781531477
l_TOP104,0.001243374945549539,0.001088388219582221,0.0012267618949349712
l_TOP105,0.0003520921606574948,0.0006883221211174254,0.00047419206245316386
l_TOP106,0.00029501240104458305,0.00043134640185333033,0.0003667924335766082
l_TOP107,0.0003045890316431461,0.0004169469759760889,0.00031770237226839504
l_TOP108,0.0008454782958207427,0.001578513373365371,0.001295825121668042
l_TOP109,0.006398597576927976,0.010030560469277784,0.008179980223193849
l_TOP11,0.000948663162203774,0.00047093293333119095,0.0005371019008755907
l_TOP110,0.0003484339003375929,0.00019418172394467716,0.00021881665346588068
l_TOP111,0.00040186778465818427,0.00019533551746671915,0.0002660709212425607
l_TOP112,0.000392660604939971,0.0004359523030405356,0.0004073988584829085
l_TOP113,0.0010055413449539035,0.0012609425979332204,0.0012564553361215861
l_TOP114,0.006758290214856979,0.014017286806577833,0.012415763234584003
l_TOP115,0.0043222942827281586,0.003291079505282668,0.003465880552785252
l_TOP116,0.005339676579252145,0.003530660036173731,0.003956575909888832
l_TOP117,0.00045692413214918677,0.0003541669706932768,0.00041810076991780537
l_TOP118,0.0004240431639519148,0.00021554252397446686,0.0002760870759987003
l_TOP119,0.0005145665700056073,0.00034465045506089777,0.0004035074522039732
l_TOP12,0.0007400363869963193,0.0005117069821513168,0.0007112258671000439
l_TOP120,0.0037831837079242993,0.003635708002604055,0.003712945057486189
l_TOP121,0.004877157583375978,0.004644371006088804,0.004642591974820276
l_TOP122,0.004872187247893482,0.0035728633361359918,0.004478675122698617
l_TOP123,0.0007794409734163862,0.0005490946951886655,0.0005702724019939386
l_TOP124,0.0010103701909648774,0.0005041928880259026,0.0007517623744538299
l_TOP125,0.0012861031738325406,0.0014187500119473508,0.0015404963941280725
l_TOP126,0.0013084653732578144,0.0015704365781859175,0.0015598900879499255
l_TOP127,0.0008405570167467693,0.0007001472604435043,0.0006801588194053481
l_TOP128,0.0010198934435584892,0.0005539500788082464,0.0006980180462009142
l_TOP129,0.001308342979134494,0.0014737784400987454,0.0014663691716326494
l_TOP13,0.0001267783409194723,5.946960898417523e-05,8.106124574692929e-05
l_TOP130,0.0011954278722120996,0.0015892233376171602,0.0012707757942962384
l_TOP131,0.0007308073880229843,0.0007129262845420596,0.0006042200318576637
l_TOP132,0.001125432277681461,0.0019068385097308583,0.0014529533978794647
l_TOP133,0.00010664221569548331,1.1239823572873666e-05,3.0258260467648373e-05
l_TOP134,0.0010340228483243276,0.0021852670922539803,0.0015454926871315325
l_TOP135,0.0009424597206421478,0.002252751815387018,0.0014224734967339012
l_TOP136,0.0010798765597257848,0.002515054503412944,0.0015542690665565297
l_TOP137,0.00043960051410456936,0.0002800903413586917,0.0004140238293835151
l_TOP138,0.0008005576859461204,0.0013866643339785563,0.000998645709230348
l_TOP139,0.0009676556850364792,0.0011261225409114248,0.001369786809392923
l_TOP14,0.0007194504107580176,0.0004108819592364122,0.0007274509393571934
