beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_eff_coef_obs,diag_eff_coef_true,cfg_niche_shape,cfg_quality_link,cfg_env_corr,cfg_propensity_learner,cfg_retain_rate,cfg_n_occ,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp,variant,regime
3.0,1.0,10.0,4,1,blend,obs,0.5936666666666667,0.7544682416333135,0.9459604946981643,0.8308605838948506,0.7380527681961363,0.9360742157690665,0.8687595196669248,0.9013113201310766,0.9896209385328038,0.9785098633185537,0.7409635252891579,0.9401998092180869,0.8412703527107549,0.7576491654356663,0.9454165823203092,0.8707799589862804,0.7798442161404437,0.9549117202660373,0.874027972413964,0.7328123924828686,0.931936386461893,0.9151769717805702,0.7342064513844762,0.9374042020503842,0.7768972627239565,0.8098748571012809,0.9379690972983044,0.9434460147393041,3.6396946042676834,3.5994242783380845,0.609325534916692,0.2260296303585397,0.48304266033851745,0.6977682193751069,5.449983008354409,0.04638041009245936,5.474815393125299,gaussian,linear,0.0,logit_quad,0.6,3000,0.7170443285018625,0.009737035250385773,0.1653088686992228,0.2127886336322268,0.7977346541514403,1,12.0,0.0720047937762812,0.29081533829769135,0.5684324274877324,0.8620956986826449,0.8567973061901338,0.8412712274191703,0.7764780282779836,0.398677560710558,0.5782559523458064,0.8620956986826449,0.25,0.9776950128930397,2.3703823001182793,2.7948315487666013,0.7073072932514767,9.981727536902874,base,toward_HQ
3.0,1.0,10.0,5,1,blend,obs,0.6016666666666667,0.7550864874995882,0.9458521662739603,0.83138356265303,0.7455467558336333,0.9396464971143258,0.8689783870295196,0.8886794534726488,0.986758771428108,0.9680614485076889,0.7478078287856358,0.9431702342250827,0.8448331555962402,0.7638410354343956,0.9477102820278803,0.8729722223019654,0.7785307095175054,0.9539082163698798,0.8724736036064221,0.7332278437039352,0.9315160353878501,0.9091940013117413,0.7353839281741006,0.9389486200740057,0.7797109120698333,0.8290378848090753,0.944305000512472,0.948114462433554,4.286050490121535,3.1218655991195186,0.5953256296433663,0.22735447173462112,0.5063840142398494,0.6978523872318378,5.6242324748774735,0.0427017091837475,5.598849806575616,gaussian,linear,0.0,logit_quad,0.6,3000,0.7309525824269445,0.005199068096077619,0.16409333885007304,0.20670376580666294,0.7956799521284629,1,12.0,0.07612260878316267,0.28852919850887304,0.5687235111666757,0.8622106228669043,0.857681992457429,0.8448339944839328,0.796096312121872,0.4531235830340364,0.6668612602430335,0.8622106228669043,0.25,0.9795752190117759,3.0036660875059904,2.5247857735359744,0.7257535143308668,9.987108062363742,base,toward_HQ
3.0,1.0,10.0,0,1,blend,obs,0.603,0.7608788083588047,0.9431730572592963,0.8053434692845818,0.7414519719977307,0.9367325700208131,0.8647008216080868,0.8868053627848371,0.9861937790888217,0.9679589706480353,0.8480585746167528,0.9771418129822009,0.9364911729060515,0.855017881488308,0.9790635102495385,0.9446662833883439,0.809475725623704,0.9628720961445391,0.8833734162265277,0.9283103137973794,0.9949464637546785,0.9958031075451708,0.871650681625424,0.9841141919108668,0.9715213103768198,0.9342568597262095,0.8808045012877628,0.02231698230209011,273.18364359471605,6.327006952032395,0.9772735817135983,0.052632861738151786,6.9933342772966895,6.8201806016170705,5.600444593701082,6.748232800949154,5.5501717284063945,gaussian,linear,0.0,logit_quad,0.6,3000,0.7170680376381457,1.2953427372130224,0.1597759990717959,0.2274274011982121,0.7969608706296997,1,12.0,0.0723433806375081,0.2830671668421225,0.5644455372703439,0.894403589653774,0.9067753515697389,0.9364460048194538,0.9625353759308402,0.6583221835816531,0.41808640929137175,0.9625353759308402,2.0,0.014729384063932155,339.3949052469329,6.382004228342772,-0.5782746995748766,9.723048361676913,base,away_HQ
3.0,1.0,10.0,1,1,blend,obs,0.5963333333333334,0.7682622706052171,0.9455872408326901,0.813083566799339,0.7308199767075563,0.9329669225930087,0.8583997261535545,0.8732083280383401,0.9831335730526714,0.9607928366379914,0.8286700613894087,0.9720119672982367,0.9253093118576955,0.8383450665125445,0.974937112602709,0.9359547044225001,0.8141901328517153,0.9638690138851413,0.8835225733529435,0.9119674589361276,0.9922383981794891,0.99001784110525,0.8669124451052104,0.9831499219138299,0.9701700828693124,0.9382158397054472,0.8910041058819802,0.24351737111441926,47.387151605023824,5.099872534331013,0.9789898725074188,0.05317323657200279,7.185529124112666,6.945786502108008,5.847996569214215,6.872862387543207,5.806251889622844,gaussian,linear,0.0,logit_quad,0.6,3000,0.729985653614518,1.303743119025947,0.16101979802718194,0.22576230422257126,0.7933634057006311,1,12.0,0.07395892905460766,0.28914418898765865,0.5568840881462592,0.8905913427128277,0.9010726648201621,0.9252936442222307,0.9802743595728293,0.7155426303766902,0.4307152668664511,0.9802743595728293,2.0,0.18718704954074705,62.0471888979738,5.63724919995903,-0.573757465411429,9.728864494696154,base,away_HQ
3.0,1.0,10.0,2,1,blend,obs,0.6073333333333333,0.7707242428835596,0.947290120886855,0.8319247374821469,0.7414656368792716,0.9367643117403853,0.860295564453576,0.8942617582242086,0.9877084632705556,0.9710600977539504,0.8447872924453135,0.9763539990131601,0.9354299622728233,0.8589587903698651,0.9802757050976632,0.9474153608366152,0.8183926915126128,0.9659818797120505,0.902023919793833,0.9277100978828275,0.9949391764631134,0.9937407423155168,0.8710110625819281,0.9840473898205094,0.9743359975802303,0.9277832521301745,0.8859977813148416,0.13570238569065904,79.73439614239707,5.853459146209432,0.9769269762700367,0.05473414441187663,6.95278925743311,6.757886139622708,5.4243195504617905,6.669533837154971,5.370751172745311,gaussian,linear,0.0,logit_quad,0.6,3000,0.719560799939859,1.2957032730702518,0.1643026486538191,0.2335434218387026,0.7949891954634302,1,12.0,0.07473270498981315,0.28718064442704117,0.5721229889347941,0.8918937407532024,0.9050388492162821,0.9353940880712324,0.9812558981425852,0.7522527575446171,0.4213810524339685,0.9812558981425852,2.0,0.13071440173194346,76.46381553402946,6.810936876151552,-0.5761424731303927,9.76961533916138,base,away_HQ
3.0,1.0,10.0,3,1,blend,obs,0.5943333333333334,0.764655403202657,0.9440997626193954,0.8008214272323267,0.7454894206281577,0.9385925576425056,0.8762757868125832,0.8867437674871208,0.9863687892014418,0.9755539934371817,0.8466158529862997,0.9769925095178583,0.9440528436863276,0.8577165887612493,0.9800208958518825,0.9534550249507694,0.8105199741322032,0.9626235046842787,0.8746881059267531,0.9190184638874564,0.9931976463225035,0.9935798434271601,0.8707906009176218,0.9839671026369116,0.9709875140786934,0.9380682990496886,0.8922926380674537,0.006939775946106773,480.1971219130016,5.067527254875717,0.9770753270525842,0.05350803166722432,6.9617348850143035,6.8320347888616935,5.460530212082416,6.761086670825643,5.4818820968651085,gaussian,linear,0.0,logit_quad,0.6,3000,0.7245108764411987,1.295998240665013,0.16626893420192923,0.2351272196853611,0.7976512547839484,1,12.0,0.07595171281668972,0.2909420768824878,0.5714846610828507,0.9070569284613526,0.918392582493952,0.944078408406282,0.9964983337410901,0.7362622728643604,0.41085555074839464,0.9964983337410901,2.0,0.007364956819873588,462.8872139915366,5.552236051895697,-0.5714873642238142,9.743167208913292,base,away_HQ
3.0,1.0,10.0,4,1,blend,obs,0.5936666666666667,0.7647187463809817,0.944463689927734,0.8124972355945068,0.7380527681961363,0.9360742157690665,0.8687595196669248,0.9013113201310766,0.9896209385328038,0.9785098633185537,0.8533087113127793,0.9795103953520947,0.9467902027372019,0.8644598723302339,0.9823092576043279,0.9551414399912131,0.8135526263273829,0.9638596217575051,0.886616321813427,0.9119427754322518,0.9920662649525238,0.9906649969814434,0.8669175121218475,0.9830937047831674,0.9722068599794206,0.9350528954982412,0.8784057285520082,0.04124515323358463,149.33371500340849,6.060261951192113,0.9764672583035128,0.055819161128465584,7.1895436969550675,6.766682713843293,5.449983008354409,6.622694970749187,5.474815393125299,gaussian,linear,0.0,logit_quad,0.6,3000,0.7170443285018625,1.3001562987917559,0.1653088686992228,0.24039685061629482,0.7977346541514403,1,12.0,0.0720047937762812,0.29081533829769135,0.5684324274877324,0.9055651658605616,0.9178124096138477,0.9468166310619418,0.9879710830690895,0.7078575080073566,0.40513393671766884,0.9879710830690895,2.0,0.02800836478159464,204.40627690904324,6.745136562297889,-0.5831119702898935,9.73033326397407,base,away_HQ
3.0,1.0,10.0,5,1,blend,obs,0.6016666666666667,0.761789850624621,0.9428361691798574,0.8006376143396092,0.7455467558336333,0.9396464971143258,0.8689783870295196,0.8886794534726488,0.986758771428108,0.9680614485076889,0.8390073052064635,0.9750733092730014,0.9326478835313192,0.8488914373627457,0.9778489539316342,0.9420123441378782,0.8095683234553902,0.9622531861837129,0.878055435274018,0.926161518857048,0.9944359385738276,0.9931737225449828,0.8651307125194534,0.9826332806535356,0.9698872624862859,0.9324552290704591,0.8962961166493587,0.009919434829551743,379.3414543840613,4.6725618168955805,0.9758353712954484,0.05573101079924076,6.672777177030087,6.563623000997874,5.6242324748774735,6.4652768393533275,5.598849806575616,gaussian,linear,0.0,logit_quad,0.6,3000,0.7309525824269445,1.3052844899525073,0.16409333885007304,0.24048936380836716,0.7956799521284629,1,12.0,0.07612260878316267,0.28852919850887304,0.5687235111666757,0.8984631232500467,0.9097788437997305,0.9325788772269499,0.9814270384974797,0.669333294653829,0.4332309479934898,0.9814270384974797,2.0,0.009493148429293418,363.8216725657885,4.973249643005227,-0.5743319075255631,9.70057182554567,base,away_HQ
3.0,0.0,10.0,0,1,blend,obs,0.6013333333333334,0.623593360663242,0.885707997486764,0.646919926061222,0.6464901821914943,0.8190726105066307,0.5564627245496181,0.6359018469808184,0.8941435749090727,0.6434919281500215,0.6305714896773188,0.8895051275577401,0.6296626795794585,0.6308834122001896,0.8916279987411535,0.629075148515959,0.6327060393862185,0.8924612629870401,0.646998206278512,0.6214521362735153,0.8690293459324461,0.6185386554283254,0.6070107866982606,0.8751921420696627,0.5929895856957753,0.9507845171906608,0.7177416341559092,0.1929078276805684,67.77242639914834,11.957377392657001,0.9326376168900029,0.08962074394117815,2.865001055073862,3.0564440087639,3.450309258833692,3.0531187833548286,3.425018884253846,bimodal,linear,0.0,logit_quad,0.6,3000,1.472860123787176,1.3417860791101006,0.2359024133180838,0.3456490530170435,0.7969608706296997,1,12.0,0.14221953229822692,0.3433752117545914,0.6870106089273622,0.5791236295319536,0.6003446365097059,0.6296793077626103,0.3399439280270674,0.16678769449983627,0.3035804778567571,0.6296793077626103,1.0,0.2874089749953202,36.02420693684259,13.455319048114257,0.13107404467707556,9.713968333230877,niche_bimodal,iso
3.0,0.0,10.0,1,1,blend,obs,0.594,0.6290650404387753,0.8885137720102598,0.6407882197859395,0.641413858977415,0.8143864430760235,0.5509891768458678,0.6386803998376966,0.8952553881709546,0.6467751022988226,0.6350990702078704,0.8923759196529394,0.6406732768870137,0.6354238977562725,0.8942747444467681,0.6386920858873437,0.6364849696088102,0.8942367020886812,0.649188535012676,0.6253469128117759,0.8676139693844845,0.625731994586631,0.6196792209768771,0.8830908407392808,0.6191781651398517,0.9598568696633766,0.693859043740302,0.17481441240814635,42.15592683594919,14.390558119263716,0.9327200577200576,0.08913748007142687,2.8924170772907125,3.082118463838951,3.3822817747336686,3.0405101573776,3.3608557861209043,bimodal,linear,0.0,logit_quad,0.6,3000,1.4656778907929384,1.364255016825557,0.24349998094975478,0.3503326723968523,0.7933634057006311,1,12.0,0.1404934055652378,0.3498469076764543,0.6960186744738891,0.5746784335534435,0.5979724888963757,0.6406596698010497,0.29171484994077085,0.2576561665303706,0.27933949461117014,0.6406596698010497,1.0,0.24426209253826303,26.821963471688935,16.31745013980334,0.10142287396738166,9.764398830515628,niche_bimodal,iso
