beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp,part,regime,rel_real,corr_len,grain
3.0,1.0,3.0,4,1,blend,obs,0.5963333333333334,0.8342775367522309,0.9732198222892763,0.9269344024182272,0.7163901992279945,0.9274328894602093,0.8424299675961856,0.8798925264889932,0.9858681479514558,0.9690791060982004,0.7937268026546427,0.9587579910227325,0.9027988272642881,0.7959556498284129,0.959613498490958,0.908489341436942,0.834903481291287,0.9734705104913324,0.9313925348710805,0.7774519248734844,0.9524969376817274,0.9245998208931538,0.8543754587376087,0.979888260299865,0.9333616753243242,0.9068666409085626,0.8911152678272537,0.8689423162345307,5.249596104128384,3.9914829148235738,0.7195929432041576,0.20434142597341778,2.0740540454453242,2.125917496171199,5.799112934401478,0.7773397504688296,0.34781111641612045,0.16228142892760128,0.18014110370890662,0.9352457784116844,1,6.0,0.030469125008662147,0.20591725788915213,0.7880904718290267,0.856876751193526,0.8729860345955158,0.9028028248929829,0.950916940063922,0.8259707599826367,0.5036143154415449,0.950916940063922,2.0,0.8701653604119097,4.783219102536667,3.9643269652050166,0.4295286340527092,2.9932946151181423,A,toward_HQ,0.9008573034493831,6.0,1
3.0,1.0,3.0,5,1,blend,obs,0.6013333333333334,0.8463166556447774,0.9765564304076554,0.9361277636061233,0.7406735481313846,0.9387779060983671,0.865254318033368,0.8985159777478956,0.9897200938759256,0.9768129874612339,0.8118720143851048,0.9652440257498252,0.91525677959529,0.8135036314289082,0.9658579371831528,0.9205517354921177,0.847088556778558,0.9768725125098424,0.9403192307117089,0.7892786147553301,0.9569582239110399,0.9328427506235107,0.8729137547566835,0.9844631287903861,0.9494180141254128,0.9045190608479533,0.8968342566167715,0.8756372832770377,5.999523880510725,3.985570484429891,0.7056378801474241,0.20733829542199989,1.942009976468209,1.9982867797688906,5.465596317894078,0.7749764938524328,0.33011630231812805,0.16687966219591766,0.18343464881657362,0.9349785976607222,1,6.0,0.031921953825445035,0.20994449786100666,0.7948751403163706,0.876136738635844,0.8900121395228094,0.9152565809630494,0.9506595835190347,0.7702210327263866,0.4872678712975713,0.9506595835190347,2.0,0.8776375815098445,5.5566269952829765,3.935233074043424,0.4448601915343048,2.996040850199836,A,toward_HQ,0.909749947856306,6.0,1
3.0,1.0,3.0,0,1,blend,obs,0.5876666666666667,0.8483560312442314,0.9775176410531397,0.9290802622189793,0.7092844462528446,0.9239632810282835,0.8461501502695944,0.8486016584265245,0.9776966451473983,0.9476308437471003,0.8378591306099503,0.9758580205498697,0.9350386054628483,0.8440731328116027,0.977524153514276,0.9398747861853121,0.8646285046467833,0.9819875684213897,0.9433977483913292,0.9527515456194154,0.9975548535883108,0.9950672543347908,0.8675933326502011,0.9835158554872873,0.9590642228722599,0.9681377301204058,0.859469394418065,0.023015089923795178,245.9265564064533,7.083988285220559,0.9813942483392799,0.05087708017832358,7.957623093131977,7.860907572273584,5.618086316445572,0.770757112490855,1.120521201977115,0.15815232238830423,0.16811912003356944,0.9351673118248132,1,6.0,0.030017920154162114,0.20280362833427512,0.7798298466713156,0.886631723029719,0.9031378119282918,0.9351081756061774,0.9579161542050035,0.6285914238309825,0.37047695338210285,0.9579161542050035,2.0,0.02341936180189966,243.87917733035238,7.404656229970303,-0.3497640894862599,2.985268221006994,A,away_HQ,0.9407158588310772,6.0,1
3.0,1.0,3.0,1,1,blend,obs,0.6016666666666667,0.8415885159917759,0.9750582497371169,0.9191886950733202,0.7214915883079613,0.9291331102642072,0.8606058938204951,0.8887799193122807,0.9879118367876888,0.9757823598165529,0.8737065607728005,0.9855130011148453,0.9642816862364777,0.883936017995161,0.9876698426888991,0.9698598055429704,0.8573987726370458,0.9797446342047449,0.9348151671797793,0.9476232337376609,0.9970199660470831,0.9934230749754686,0.863245887257025,0.981803854092097,0.953637718333073,0.9615893625031628,0.8428412820407634,0.07555580861134922,91.24748678096951,8.517029763941164,0.9826377218094785,0.04770031117116986,8.35574521104833,8.278868194157544,5.736560608293119,0.79289332067528,1.155062844179055,0.15971021614245023,0.17076849829310986,0.9344598265139924,1,6.0,0.033181413336660553,0.20310156875268215,0.7863563886940244,0.9050290475225892,0.9238266277748325,0.9642544408822603,0.9542028716544863,0.7139665130518402,0.3729002947035629,0.9642544408822603,1.0,0.07877805426817305,90.39123473263872,9.376832074581676,-0.36216952350377507,2.9912814575862225,A,away_HQ,0.9352440159561571,6.0,1
3.0,1.0,3.0,2,1,blend,obs,0.6136666666666667,0.8656508402286354,0.9823043928760835,0.9477972640521294,0.7272550464096179,0.9319120097817863,0.8595689203889945,0.8827137699263641,0.9863076550799752,0.97313716503169,0.859804602169243,0.9816007714422398,0.9548344867944576,0.8667602120794774,0.9832623659655947,0.9595302859053596,0.8810013114196683,0.9860635042996612,0.9586937420856094,0.9563808906508379,0.9980337143910774,0.998250978433086,0.8798385320771457,0.9864844722973586,0.9686318549340353,0.9484717843321141,0.8599771204088559,0.018063925104970985,311.59870973869124,7.719311909621403,0.9810931055120192,0.05187831975719858,8.297659152913898,8.277459077098756,5.505213631507858,0.7589941421098085,1.1184098404200458,0.1587145551441816,0.17072089895356113,0.9338604994037745,1,6.0,0.03143310129115041,0.20174523345633355,0.7867078315807363,0.9016895651232751,0.919514799635862,0.9548198295979136,0.9776836112399518,0.7553749776581287,0.4115667435587733,0.9776836112399518,2.0,0.02055871221173472,290.84253306173446,8.211914612774263,-0.3594156983102371,2.9831400934055865,A,away_HQ,0.9296726769658971,6.0,1
3.0,1.0,3.0,3,1,blend,obs,0.6063333333333333,0.8520597685785827,0.9781206804541145,0.9321334903768669,0.7415723774276983,0.9409194742042902,0.8769786956111583,0.9103914337652426,0.9925332695528796,0.9900971763376288,0.8860001305089749,0.9887294567553921,0.9730740640732465,0.8936769667254575,0.9901469588305087,0.9772794415925953,0.8676599374461397,0.9824416826983042,0.9455184607036873,0.949022190515105,0.9972418658809797,0.9947045354404709,0.8675552449902714,0.9828296908167136,0.9574075858615418,0.9460954830804488,0.8496988345323769,0.02625280893490711,226.38637960427545,8.154203836122228,0.9796458867006884,0.052776570190317396,7.9155142687065485,7.8935974091804235,5.545572957707047,0.7602273233713728,1.1251566653488778,0.16937870223808993,0.18064192300847476,0.9349605512761415,1,6.0,0.031182121600696205,0.2124198810718113,0.797376881031344,0.922491498234259,0.9407571494314302,0.9730230774956579,0.9655048862863139,0.7457538409723818,0.40631449823034804,0.9730230774956579,1.0,0.030475243552950088,208.06256798882748,8.623743858708167,-0.364929341977505,2.992929322631713,A,away_HQ,0.9376489101599277,6.0,1
3.0,1.0,3.0,4,1,blend,obs,0.5963333333333334,0.858155333750934,0.9799920300041689,0.9419609556731106,0.7163901992279945,0.9274328894602093,0.8424299675961856,0.8798925264889932,0.9858681479514558,0.9690791060982004,0.8697524961091332,0.9844653449163779,0.9595358671710561,0.8784687997688406,0.9863446033754513,0.9651184106161016,0.8742218905006411,0.9841839392866895,0.9540404050457141,0.9601214632635032,0.9983402142020326,0.9971966667962214,0.8781662317872486,0.9859446729248309,0.9705495601261894,0.9681927980918035,0.8397682334483636,0.13878868602792002,59.69809213943636,8.4990175516095,0.9809273480149128,0.05308612864301776,9.043975790634388,8.975848710483266,5.799112934401478,0.7773397504688296,1.1323419294822366,0.16228142892760128,0.17528147051482584,0.9352457784116844,1,6.0,0.030469125008662147,0.20591725788915213,0.7880904718290267,0.8979050960666162,0.91927156051763,0.9595784641392952,0.9718381639060413,0.7522448449829499,0.4088754815441138,0.9718381639060413,2.0,0.1466463317669971,57.997264777447675,9.242598470057159,-0.3550021790134069,2.9891233577929692,A,away_HQ,0.9258333379504311,6.0,1
3.0,1.0,3.0,5,1,blend,obs,0.6013333333333334,0.8426527917225403,0.9757863316882559,0.9249291554275862,0.7406735481313846,0.9387779060983671,0.865254318033368,0.8985159777478956,0.9897200938759256,0.9768129874612339,0.8885089450228294,0.9883138641760608,0.9668046281730056,0.8963430701821526,0.989801481531229,0.9714809944664188,0.8577977393128459,0.9801442971603183,0.9388826274132369,0.9616214031407138,0.9984236697868393,0.9959169236480876,0.8623146074775454,0.9819702831971862,0.9543114883653148,0.9615538446363544,0.844533627800414,0.07343246218157595,87.74657284088909,8.858222113161025,0.9798049577675769,0.052949384893278495,8.064468413707969,8.082727742182358,5.465596317894078,0.7749764938524328,1.1360470150569046,0.16687966219591766,0.18187873280575584,0.9349785976607222,1,6.0,0.031921953825445035,0.20994449786100666,0.7948751403163706,0.9075545730450987,0.9270762889714927,0.9668231759437723,0.9498264284929965,0.7282045296574853,0.3976749650622988,0.9668231759437723,1.0,0.07720857838424164,81.68622448296242,9.42700991223227,-0.3610705212044718,2.9908038143062927,A,away_HQ,0.9175325758077664,6.0,1
3.0,0.0,6.0,0,1,blend,obs,0.5876666666666667,0.8902740659568291,0.989202936743486,0.9959052199606404,0.7092844462528446,0.9239632810282835,0.8461501502695944,0.8486016584265245,0.9776966451473983,0.9476308437471003,0.7978759521055427,0.9619794776912236,0.8805918102147073,0.8090077664180015,0.9652416851519301,0.9036800155698186,0.9404171501036287,0.996848646626392,0.9951504616942318,0.7744346047585107,0.952853627109898,0.9391933223931401,0.8684817011237413,0.9844212363288293,0.986022472333084,0.9123928407301772,0.8641269452616573,0.08475565472098692,131.83025267748081,6.377005685266508,0.8192310637550548,0.15578909519187703,2.774581242923849,2.8829074255746274,5.618086316445572,0.770757112490855,0.6254389158535343,0.15815232238830423,0.28257878762717364,0.7647626441831611,1,6.0,0.10891629458746785,0.3058978040098323,0.5170103227783251,0.8521881347179423,0.8609999289399145,0.8806003957955463,0.8142669416707298,0.4203407233727409,0.43858504223360517,0.8806003957955463,1.0,0.3068932077621113,47.69140520258091,5.758287730389351,0.14531819663732062,5.920702207034388,A,iso,0.5596751395117665,6.0,1
3.0,0.0,6.0,1,1,blend,obs,0.6016666666666667,0.8760569373117011,0.986332509934289,0.999343957795811,0.7214915883079613,0.9291331102642072,0.8606058938204951,0.8887799193122807,0.9879118367876888,0.9757823598165529,0.8288459472312697,0.9731296264628514,0.9208775653156318,0.839060795163877,0.9755661613241164,0.9376349863259469,0.9341064664109555,0.9961148039594748,0.9995595193014576,0.7947522857831841,0.9609457776371271,0.9546225100068055,0.8679232725711161,0.9843404870942434,0.9944340303414768,0.911002443615371,0.8713097711859292,0.33054228174509775,40.15268757101932,6.5679590226060345,0.8352530743286315,0.1450104626657161,2.830533261230646,2.945424863886933,5.736560608293119,0.79289332067528,0.7044674039600995,0.15971021614245023,0.29537014700453024,0.7627545570030926,1,6.0,0.1201116611020289,0.30283854876702343,0.5273774319441639,0.8694442802408798,0.8826164780001033,0.9208728463379349,0.9144328515964437,0.6241189534803299,0.4013001057656176,0.9208728463379349,1.0,0.39583606500898644,27.407507279283738,6.553996469629431,0.08842591671518027,5.940450820631829,A,iso,0.5407121124532626,6.0,1
