variant,regime,beta,rho,D,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_eff_coef_obs,diag_eff_coef_true,cfg_env_corr,cfg_retain_rate,cfg_n_occ,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp
niche_bimodal,iso,3.0,0.0,10.0,1.0,0.5981111111111111,0.6261162264494874,0.886968730379083,0.6414341337273547,0.6408762485311789,0.8131698862109612,0.5459779332365414,0.6370479654878646,0.8939563539441876,0.6452629056698519,0.6322759693757062,0.8912312684733043,0.6339425685037928,0.6329730821319165,0.8930113032308772,0.632914815379895,0.6344977144067621,0.8931625344724708,0.6485730441243333,0.6244624399424273,0.8675491261870322,0.6225118296860637,0.6141361302088035,0.8795369006188722,0.6053825733797428,0.9548060572218349,0.6791703556179983,0.17930480590758432,46.309039064232614,16.44272778443935,0.9366088804626612,0.08519301646900339,3.0034430061814614,3.1851503140063033,3.4940973872185794,3.1900060291965002,3.4873196565860805,0.0,0.6,3000.0,1.4783823301037036,1.3667324363241098,0.23326325981524812,0.33844905378696816,0.7960632221429353,1.0,12.0,0.1400988873476944,0.33942643038751363,0.6872234603042967,0.5698276094054929,0.5935050489106017,0.6339512041521759,0.2749054563195455,0.2399644774094278,0.2834665105568618,0.6339512041521759,1.0,0.2373109873264487,29.027175389251948,17.27235097408978,0.11164989377959406,9.720452804525385
niche_bimodal,toward_HQ,3.0,1.0,10.0,1.0,0.5981111111111111,0.6041564370824983,0.8545833124147254,0.5496602706646504,0.6408762485311789,0.8131698862109612,0.5459779332365414,0.6370479654878646,0.8939563539441876,0.6452629056698519,0.6264119100377101,0.8848467981907103,0.6145815604311996,0.6281585447851442,0.8848025683507222,0.6225942405908355,0.6112185684754524,0.8604139371804035,0.5650096193608193,0.6289935110525408,0.8333869853881719,0.5994110780886962,0.576145102764393,0.8344103179024077,0.47666516682735854,0.9160186879691693,0.6921259712257629,0.24543258533181853,64.66643150217952,18.6911309316685,0.836693983935731,0.15416369114222186,2.3134928852750565,2.2756512031902343,3.4940973872185794,2.4116901209262576,3.4873196565860805,0.0,0.6,3000.0,1.4783823301037036,0.6799530424378316,0.23326325981524812,0.27267075621090947,0.7960632221429353,1.0,12.0,0.1400988873476944,0.33942643038751363,0.6872234603042967,0.5642805582828273,0.5841303880044065,0.614576078197786,0.30808325244098494,0.17080110987260988,0.3032396970866347,0.6156930617776956,0.9166666666666666,0.3928491735490622,24.955263987221556,13.619541679764685,0.7984292876658721,9.977684008619889
niche_skewed,away_HQ,3.0,1.0,10.0,1.0,0.5981666666666667,0.6953787130977197,0.9011054639678339,0.8564249627123165,0.7137421828954288,0.9379631498456985,0.9401770761800129,0.8828950179992003,0.9895815328096648,0.9889041872191399,0.8157281501273149,0.9755185368788094,0.9695572260173956,0.8185593946172892,0.976351404984853,0.9724054886286009,0.734005610532261,0.9220110160641893,0.8837647282577977,0.9118920396741858,0.992729923222231,0.9915465817769523,0.7759541880035306,0.9475196700835382,0.9693980173021907,0.9158873129767061,0.8931248895479419,0.11097688632546793,170.9753068376666,5.512453969006121,0.9878616921741692,0.0412480910576069,11.569309008986515,10.435658049411204,7.238639325404441,8.612287305433243,7.108016569376585,0.0,0.6,3000.0,0.5702838401805733,1.1687260535877082,0.09905592286793273,0.17396448223893735,0.7960632221429353,1.0,12.0,-0.008769816265773455,0.23670697104208652,0.4183542207957742,0.9556663989300168,0.9598030671958302,0.9695582732274945,0.9839245834645313,0.8346413623762619,0.46599398867349445,0.9854161565270814,1.8333333333333333,0.13838710774871707,157.1010445025365,5.401325044008655,-0.5984422134071349,9.86173386483041
niche_skewed,iso,3.0,0.0,10.0,1.0,0.5981666666666667,0.8261932145301869,0.9703261969156944,0.995513744237134,0.7137421828954288,0.9379631498456985,0.9401770761800129,0.8828950179992003,0.9895815328096648,0.9889041872191399,0.7956300554391634,0.9694007203660432,0.9565058291855185,0.806783278927042,0.9725748171220129,0.9663856243374033,0.8659060874678587,0.9814565285316067,0.9936837811533396,0.7871638596555922,0.9652632243787918,0.9806867438038337,0.8206201572956772,0.9712986236304916,0.9846809523707528,0.8915859199524253,0.9006271533139096,0.6487926190527374,20.638327558393392,4.730438634766152,0.8190019400929175,0.15054070530891184,5.651063937162359,5.631068792341575,7.238639325404441,3.977960318014429,7.108016569376585,0.0,0.6,3000.0,0.5702838401805733,0.5692892776931492,0.09905592286793273,0.21362237847270552,0.7960632221429353,1.0,12.0,-0.008769816265773455,0.23670697104208652,0.4183542207957742,0.9425096088093666,0.9468225712800419,0.9565029898563907,0.9661916566864553,0.8630128521757799,0.5471847103473904,0.969364046489222,2.1666666666666665,0.6390518960985355,21.817142694074533,4.61781310765088,0.000994562487424172,9.85478241530376
niche_skewed,toward_HQ,3.0,1.0,10.0,1.0,0.5981666666666667,0.7078601208385343,0.9369176934559164,0.9002218982518722,0.7137421828954288,0.9379631498456985,0.9401770761800129,0.8828950179992003,0.9895815328096648,0.9889041872191399,0.6949914121319113,0.9316706568580644,0.9101061174159476,0.720085142553362,0.9414581505234288,0.9314924014639977,0.7402766061041232,0.9500173234770517,0.9319648311981141,0.7073836657704576,0.9313368559094899,0.9634440958646637,0.7340515258923882,0.9467543098554406,0.9005457773168071,0.7806099500328311,0.9141030636942079,0.8589232382669679,10.2400860000068,4.032076387455853,0.6464449298621212,0.22224458925190768,1.4129266073664768,1.5364851852742643,7.238639325404441,-0.5612441709668671,7.108016569376585,0.0,0.6,3000.0,0.5702838401805733,-0.07567402600911272,0.09905592286793273,0.15574714441124135,0.7960632221429353,1.0,12.0,-0.008769816265773455,0.23670697104208652,0.4183542207957742,0.9334420986372303,0.927634602376428,0.9101070317408287,0.8308674600215081,0.5869729171791379,0.39826381783124504,0.9334420986372303,0.25,0.9611665476126161,3.723351767740237,3.007181235525763,0.6459578661896861,9.915600601242263
prop_linear,away_HQ,3.0,1.0,10.0,1.0,0.5993888888888889,0.7651715536759736,0.9445750067843047,0.8107180084554185,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.8446052164492789,0.9765772027882881,0.9420806960280697,0.8539793515824069,0.9790933078790913,0.9482921089086699,0.8126165789838348,0.963576550394538,0.884713295397917,0.9208517714655152,0.9936373147076893,0.9928300423199207,0.8687355024785809,0.9835009319531368,0.9715181712284604,0.9356369560871397,0.8892084698242598,0.09469529667265152,194.20794657272938,5.406176084856614,0.9763575320147647,0.055360339800545055,7.270674377895991,7.0456115938084425,5.532778531825382,6.67657270641305,5.519700689230851,0.0,0.6,3000.0,0.7231870464270881,1.2993713597864163,0.163461597917337,0.23379109356158487,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.9023549412793092,0.9147390196493458,0.9420484805039431,0.9922248498141144,0.7572206804241448,0.42938868660594487,0.9922248498141144,2.0,0.0952789236429998,185.87245623573367,5.920463425365164,-0.5761843133593282,9.732600082327913
prop_linear,iso,3.0,0.0,10.0,1.0,0.5993888888888889,0.886227346996305,0.9875485391437419,0.997149072249473,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.8171903733774348,0.9657300200830815,0.9300374142948961,0.8253995197767869,0.9685277784719272,0.9355214313413708,0.9305018553041803,0.9953457018650322,0.9988039387470115,0.8148851765386759,0.9666822414557991,0.9542847143827492,0.8540058809611967,0.9804009684553611,0.9542169240322086,0.9209291565025154,0.8970388146762743,0.8653993874348487,7.696838516157329,3.455980578173985,0.8084517172736748,0.1643003714159314,2.573625166360218,2.847183352718719,5.532778531825382,2.570790607333305,5.519700689230851,0.0,0.6,3000.0,0.7231870464270881,0.6649041513978239,0.163461597917337,0.2732363396002709,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.886732175952455,0.9035979472658697,0.9300350050095854,0.9745223712924583,0.9233303408098971,0.593353533543282,0.9745223712924583,2.0,0.8170203293987918,10.071949270485048,3.8377101141943073,0.05828289502926418,9.784907327161998
prop_linear,toward_HQ,3.0,1.0,10.0,1.0,0.5993888888888889,0.7540913030880562,0.9446918684237581,0.8289234628660941,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.739291883469494,0.9362613566832444,0.8648960219544969,0.755836572367556,0.9425919165994623,0.8812868510332671,0.7791088537498139,0.9536731515231606,0.8719283725003818,0.7346020378507481,0.9321338507515805,0.9116972150696188,0.7372724948997432,0.9387018417108401,0.7804911668633564,0.8251651372347161,0.9855118943150073,0.9983603682058799,1.1547038993139418,1.8408556756809924,0.5357477743897515,0.23918770327102482,0.06182865702196456,0.4803930184082499,5.532778531825382,0.0651172746517633,5.519700689230851,0.0,0.6,3000.0,0.7231870464270881,0.013459127902164683,0.163461597917337,0.20545748673882355,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.8639183619592373,0.864275556313959,0.8648968455593203,0.8655138391547892,0.8638872458107181,0.94168992385314,0.8681876192139151,1.7083333333333333,0.9923005319665226,1.3696619879237295,2.049119812472346,0.7097279185249233,9.980091485421385
prop_rf,away_HQ,3.0,1.0,10.0,1.0,0.5993888888888889,0.7651715536759736,0.9445750067843047,0.8107180084554185,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.8301163410695255,0.9721589291034505,0.9281398491769064,0.8227193212076899,0.9695598093956481,0.9249450011716241,0.8126165789838348,0.963576550394538,0.884713295397917,0.9208517714655152,0.9936373147076893,0.9928300423199207,0.8687355024785809,0.9835009319531368,0.9715181712284604,0.9208926924721631,0.902054750012185,0.6161917193274316,19.883760220144904,4.568449324585695,0.985298602152897,0.04729563690040381,,,,4.883294692580058,4.366834594864133,0.0,0.6,3000.0,0.7231870464270881,1.2993713597864163,0.163461597917337,0.23379109356158487,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.8916192347265155,0.9045136594857901,0.9279410447945171,0.9883907511139395,0.7836930458904828,0.46559999174184963,0.9883907511139395,2.0,0.5764509676982582,20.811147673315443,3.971987538644577,-0.5761843133593282,9.732600082327913
prop_rf,iso,3.0,0.0,10.0,1.0,0.5993888888888889,0.886227346996305,0.9875485391437419,0.997149072249473,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.8192146670545508,0.9678173833104857,0.9134913936290371,0.8241379720951642,0.9691390802903491,0.9239981256617518,0.9305018553041803,0.9953457018650322,0.9988039387470115,0.8148851765386759,0.9666822414557991,0.9542847143827492,0.8540058809611967,0.9804009684553611,0.9542169240322086,0.9107346932937282,0.9002744196309699,0.7120673141096258,13.366301057986092,4.660513199056325,0.880270253035588,0.13551064457721917,,,,2.5823155668559123,4.366834594864133,0.0,0.6,3000.0,0.7231870464270881,0.6649041513978239,0.163461597917337,0.2732363396002709,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.8753515652781129,0.8865666074440542,0.9134993544460287,0.9593729529159037,0.710646155547055,0.4273675464959208,0.9593729529159037,2.0,0.7105394117543772,13.610365847101027,4.45385186829101,0.05828289502926418,9.784907327161998
prop_rf,toward_HQ,3.0,1.0,10.0,1.0,0.5993888888888889,0.7540913030880562,0.9446918684237581,0.8289234628660941,0.7404710883737476,0.9367961791466842,0.8662349676207075,0.8885016650230386,0.9866307190957336,0.9703228683839002,0.7425628170019102,0.9394715372296596,0.8450603835895983,0.7560223199709138,0.9436212803473856,0.8707685537752913,0.7791088537498139,0.9536731515231606,0.8719283725003818,0.7346020378507481,0.9321338507515805,0.9116972150696188,0.7372724948997432,0.9387018417108401,0.7804911668633564,0.8230685493007646,0.952323962620992,0.9368030013549676,4.139153875947435,3.2180983194329422,0.7748335828359824,0.1956229701713037,,,,0.07904833031433017,4.366834594864133,0.0,0.6,3000.0,0.7231870464270881,0.013459127902164683,0.163461597917337,0.20545748673882355,0.7960632221429353,1.0,12.0,0.07418568834301041,0.28827976899097907,0.5670155356814427,0.859173202146103,0.8547512997885724,0.8450534515530687,0.8218426996060116,0.7406288427708208,0.726356484002585,0.859173202146103,0.25,0.9488164678895435,3.2358750005845174,2.9483629133570823,0.7097279185249233,9.980091485421385
quality_quadratic,away_HQ,3.0,1.0,10.0,1.0,0.598388888888889,0.7834612327861583,0.9534702133665706,0.8473803458966574,0.8893623942132393,0.989278205616703,0.96378289185982,0.9808541483309798,0.9996196501750267,0.9987403911622618,0.8110655459453556,0.9637619587675572,0.8761582315454275,0.8327487687781421,0.9712793334799262,0.902417874493116,0.8262894473793997,0.9691329245004763,0.9024233333011887,0.9320317149739653,0.9948918288361105,0.9908008738256994,0.8655351527454056,0.9826174446686234,0.9693540442766824,0.8185432517440034,0.7596842149657766,0.42367114977136433,28.402480020787607,8.720937425728426,0.900357580680183,0.1243533020530806,4.1255328318319355,4.2051656974396385,3.522000219416839,3.51094518688109,3.74582063599167,0.0,0.6,3000.0,0.42555987323743955,1.0102333718788452,0.24549030813567416,0.32181549325855735,0.7960632221429353,1.0,12.0,0.03771465684423984,0.3778750887398026,0.6496298542904982,0.9919544367539902,0.9787428189113031,0.8761164185096372,0.4336199843975706,0.08968616159868037,0.29014017471226317,0.9919544367539902,0.25,0.5788745813089053,10.02007621036829,6.849219219011613,-0.5846734986414057,9.790856350374208
