regime,beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp
iso,2.0,0.0,10.0,4,1,blend,obs,0.5976666666666667,0.8956323960208719,0.9896290550120994,0.998823336933248,0.7827122833292421,0.9565694454015025,0.9029340586933561,0.9321270980146901,0.9950966505595682,0.9917775235825482,0.8862483896598048,0.9879844634319609,0.9621893298687962,0.8948182114306424,0.9894276587254266,0.9706392976775389,0.9401469822829898,0.9965942982962912,0.9994423983651236,0.8239076469567651,0.9703183691805812,0.9646250613554956,0.8631041637978598,0.9832774124227446,0.9661909892143303,0.925831322522548,0.8804979399318755,0.41568170492405615,35.41029406579819,6.307673112418003,0.784054809484181,0.1723981001656305,2.2505186145985414,2.361587092597205,0.4165572921367592,35.315952082379,6.180147341482951,0.04772345826449128,9.801014899561594
iso,2.0,0.0,10.0,5,1,blend,obs,0.6033333333333334,0.8852855878121241,0.9874008646146534,0.9974553176643166,0.7966249350121454,0.9623905313025133,0.907344971502306,0.9610693840620159,0.9983398675258328,0.9959690326622014,0.8940137531576695,0.9893363430915543,0.9635299591731052,0.9061346221010619,0.9914762819781896,0.9728395016866141,0.9292168612169719,0.9952550288757656,0.9994458275192866,0.8368884960864611,0.9742937650491634,0.9646501150237944,0.8635508342621517,0.9832971164528842,0.9686222081740337,0.9186081047088988,0.8730572052043082,0.35126335372130313,48.41471515177036,6.128541704772525,0.7815991921630532,0.17380106671378742,2.1064420326126565,2.243191976691704,0.43949688138584525,38.312376246458605,5.65074529518181,0.05217399738339358,9.768467403522363
iso,2.0,0.0,10.0,6,1,blend,obs,0.6173333333333333,0.8823773687795065,0.9867746112451244,0.9979578471858335,0.7920989997538872,0.9604863812541056,0.9006596288161807,0.9484827776734923,0.9970901436344174,0.9931526605973667,0.8809690945537353,0.9863230911161927,0.9563470599469236,0.8968668188519504,0.9895096852349594,0.9687310109107204,0.925586431301809,0.9947312809386062,0.9997494518807879,0.8482634322311644,0.977908186260276,0.9670160814506775,0.8583450424953397,0.9816583837038354,0.966787119834766,0.9156923032355775,0.8936620049439661,0.7406206555212175,11.787808638582828,4.548189978667956,0.7879093888516793,0.1679022511322063,2.2212815443234324,2.3817292140569863,0.7440238485080919,10.979208137947754,4.9531609144799535,0.02780847867436745,9.810271601266427
iso,2.0,0.0,10.0,7,1,blend,obs,0.6053333333333333,0.8931686025777563,0.989054900054878,0.9970742103710831,0.7740182950418174,0.9532281616190881,0.888634364768567,0.9322029658069678,0.9950127844368072,0.9870520121074039,0.8737122630693003,0.9848844001279856,0.9487618460262002,0.8807861121881093,0.9861355788240825,0.9578815025206664,0.9362001351045476,0.9961879395080206,0.998365992847572,0.8194280764238538,0.9685464344933096,0.9536912595116196,0.8600080160590398,0.9823944753157077,0.967449956027193,0.9200540567931399,0.8693179288858084,0.5757392954977796,21.91494853885476,6.72666847985303,0.778437630223836,0.1733492742544523,2.228953401371136,2.373538020003663,0.6311952776470338,20.72436911939788,5.259615137082327,0.05642250060656889,9.85178756776774
iso,3.0,0.0,10.0,0,1,blend,obs,0.603,0.8922188269282564,0.9888265488460659,0.9979837959816686,0.7414519719977307,0.9367325700208131,0.8647008216080868,0.8868053627847106,0.9861937790887924,0.9679589706480353,0.8254512290922759,0.9693886754859143,0.91416212149373,0.8386720311912916,0.9734633857401566,0.9317787515707933,0.9373126783302229,0.9962241590871235,0.9994112965214806,0.8156850332313432,0.9665543866476726,0.9539867926899233,0.8750448043572522,0.985950365886208,0.9675221128328184,0.9139920007395009,0.8910019994394671,0.365334552768809,48.04360580788822,5.206748408857838,0.8119761301710497,0.1555789666188678,3.1181404193355813,3.3466142626336706,0.2726667664663626,62.95098279201028,5.648965819922765,0.07185648557234829,9.739829918291601
iso,3.0,0.0,10.0,1,1,blend,obs,0.5963333333333334,0.8769599436426996,0.9856773871338119,0.9980416536413351,0.7308199767075563,0.9329669225930087,0.8583997261535545,0.8732083280382181,0.9831335730526408,0.9607928366379914,0.8180488260977534,0.9678444774167756,0.9091620087808696,0.8258409079134169,0.9698761776485062,0.9231684737580487,0.9213696626800969,0.9942305499203038,0.9993285318595654,0.8200693553684657,0.9689071890342584,0.9549073266235368,0.8418945856525277,0.9774605298461272,0.9475776485420458,0.9251420074605674,0.8856017053188381,0.6230939203767596,14.382973283563743,5.234801874002913,0.8334721915144343,0.1472192823080599,3.2282480229362562,3.3964109121912447,0.6427223240438672,16.30358940479677,4.914942790667263,0.025369154841095004,9.816284545749628
iso,3.0,0.0,10.0,2,1,blend,obs,0.6073333333333333,0.8803185122543016,0.9862902387499944,0.9954445680646528,0.7414656368792716,0.9367643117403853,0.860295564453576,0.8942617582240795,0.9877084632705275,0.9710600977539504,0.8254580449610407,0.9701985654935853,0.9109082954494508,0.8359124096157318,0.9732092248748115,0.9262836010301626,0.9216341159014987,0.9941951642063435,0.9970157233657599,0.8196915384852328,0.9678442613486636,0.950846068000654,0.8386797903386858,0.9757784522316313,0.9382259051810851,0.9037004599459928,0.8902426195168869,0.29982197018644074,58.20824036269942,5.262778310656296,0.8171373646750991,0.15520502762759167,2.9545019249574067,3.1528306707508853,0.5915936980311226,20.680574603390593,4.994324167617572,0.06572886510340888,9.785541525108364
iso,3.0,0.0,10.0,3,1,blend,obs,0.5943333333333334,0.8931169086555774,0.9889318208668073,0.9968811282439326,0.7454894206281577,0.9385925576425056,0.8762757868125832,0.8867437674870027,0.9863687892014142,0.9755539934371817,0.8357438866849914,0.9728986909808107,0.9303038119873868,0.8420041261342882,0.9745393576089266,0.9432325471910689,0.9390418551897103,0.9964242740984743,0.9995468925829173,0.8141198423381457,0.9666319296205558,0.9605172296319748,0.8701980410451936,0.9846554765796662,0.9682741243126285,0.9247688899082546,0.8898789932517552,0.07770030015983759,135.82612533580377,4.975165610000817,0.8263834323158877,0.152730339332857,3.1321321739043686,3.3048765744131448,0.0644989796409918,151.865421111504,4.811534932883859,0.056145174290366036,9.798882518205605
iso,3.0,0.0,10.0,4,1,blend,obs,0.5936666666666667,0.8964112674285317,0.9897982084584309,0.9990959747574839,0.7380527681961363,0.9360742157690665,0.8687595196669248,0.901311320130929,0.9896209385327742,0.9785098633185537,0.8258091296132386,0.9707099612292521,0.9217806659720889,0.8376359645016599,0.9738645539477688,0.9372764955407547,0.9411683543988458,0.996735896050181,0.9995465184104675,0.8022137967144835,0.9625911049107471,0.9522903298384329,0.8531127255941409,0.98041543739492,0.9535211848791922,0.9053421769946325,0.8953748354419977,0.2224479199581648,53.803610038944704,4.789800625794392,0.8101404442757593,0.1584781774525432,2.9444882515906463,3.09025805387381,0.2417570221244442,57.23276444868743,5.209177424376766,0.06920600481113857,9.79324338033451
iso,3.0,0.0,10.0,5,1,blend,obs,0.6016666666666667,0.8783386230684638,0.9857670308073401,0.9954473128077658,0.7455467558336333,0.9396464971143258,0.8689783870295196,0.8886794534725371,0.9867587714280831,0.9680614485076889,0.8313931209597734,0.971741384916117,0.9192351911080134,0.840929490241111,0.9744473018187512,0.9325720151678232,0.922484465324707,0.9942641678277669,0.997974669741878,0.8175314930943842,0.9675645771728969,0.9531605395119733,0.8451053387793795,0.9781455487936139,0.9501805684454812,0.9259374735970405,0.8859772288857723,0.1115403972288989,109.49305192459305,5.030030773354213,0.8278612408581463,0.15266298054046792,3.117565422948196,3.299129323337462,0.12030576574284053,100.0747015565576,4.930915928959745,0.06139168555722829,9.775662075282284
iso,3.0,0.0,10.0,6,1,blend,obs,0.6143333333333333,0.8769892805878752,0.9854824926593717,0.9969543146487493,0.7456683482085398,0.9397903871428176,0.865653995044991,0.9012676064144141,0.989489710840638,0.9766988285813027,0.8228352261111422,0.9696241753740874,0.9163233809264827,0.8306365271559477,0.9715841514970076,0.9293080092276504,0.9205361167161386,0.9939902599536757,0.9989632785652554,0.8211948781640275,0.9688363925326401,0.9519124369009112,0.8489252291099199,0.9794504160027693,0.9568985981901053,0.900960416370359,0.907408774338375,0.7322529151255935,16.458928982773323,4.278238246429458,0.8037349385724958,0.15741788869456172,2.8122073269301335,2.980692632027734,0.7665240111219686,11.423770672433013,4.042227033657413,0.08503612394315135,9.789153140995195
iso,3.0,0.0,10.0,7,1,blend,obs,0.6016666666666667,0.8958647374017281,0.9897802275025472,0.9991099979749452,0.7215200190961615,0.9278863843018467,0.8496374967860413,0.8741148530830418,0.9832436798607096,0.9631039177055036,0.8074766712145011,0.9637731173669318,0.9033383284414686,0.8181265542478569,0.9669149483620992,0.9215781040299177,0.9405479763210742,0.9967300308434078,0.9988839665557998,0.7932396717005985,0.9587519079467586,0.9398302706844601,0.8590733080100699,0.9825088729905495,0.9585303008529171,0.9130892931475165,0.8924029490485821,0.5680679440640919,24.295656144510286,4.8113073782670925,0.8091099804123831,0.16044594213678984,3.0312978107738466,3.187094936932607,0.6886070241182989,14.947687075026,4.920110498438496,0.07661321042340619,9.796180169812741
