axis,regime,D_km,seed,n_truth,n_high,n_displaced,mu_u,rho_u,ceil_seed,ceil_mcar,auc,brier,ess,sp_ALL,D_ALL,sp_FILTER,D_FILTER,sp_IPW_est,D_IPW_est,sp_IPW_oracle,D_IPW_oracle,sp_SMITH_env,D_SMITH_env,sp_ALL_calib,D_ALL_calib
short_range,toward_HQ,2.0,0,2923,1591,1,0.3750433364997027,,0.8759938491756439,0.8409728101071131,0.8140672098874487,0.17265935802771773,0.5908182305373797,0.933763356361251,0.9657493938589835,0.7839643878328946,0.8510062651590213,0.7773050986563327,0.8393476431430762,0.779994244024835,0.859903146331372,0.933763356361251,0.9657493938589835,0.931966336771199,0.9652672384444005
short_range,toward_HQ,2.0,1,2923,1569,1,0.3750433364997027,,0.8759938491756439,0.8409728101071131,0.8028382725498558,0.17595093385569535,0.5226552536228847,0.8712035653271998,0.9408893627912901,0.7948213695960266,0.8435968467983284,0.7915309299659371,0.8382773951182554,0.7884663137915331,0.8665370692282708,0.8712035653271998,0.9408893627912901,0.869245358123694,0.9410604639545099
short_range,toward_HQ,2.0,2,2923,1557,2,0.7671923464915376,,0.8759938491756439,0.8409728101071131,0.8124669113463874,0.1731054101154883,0.4238114523068912,0.8713640971477693,0.9400615161839337,0.783012900639426,0.8427356712771904,0.7676598442992397,0.8232126219772145,0.777232678320007,0.854398297500773,0.8734469150567927,0.9405783569390826,0.8713639459336333,0.9401140789158507
short_range,away_HQ,2.0,0,2923,1591,1,0.3072084272694629,,0.8759938491756439,0.8409728101071131,0.8140554130497563,0.1727526925494816,0.5912892898579568,0.9303870070392468,0.9634090656475537,0.7839643878328946,0.8510062651590213,0.7815218743653577,0.8389716889968586,0.779994244024835,0.859903146331372,0.933763356361251,0.9657493938589835,0.931966336771199,0.9652672384444005
short_range,away_HQ,2.0,1,2923,1569,1,0.3072084272694629,,0.8759938491756439,0.8409728101071131,0.8024828824350672,0.17620501673703998,0.5232405185300871,0.8707319491706974,0.9410512873141085,0.7948213695960266,0.8435968467983284,0.7870993398990752,0.8396599325977436,0.7884663137915331,0.8665370692282708,0.8712035653271998,0.9408893627912901,0.869245358123694,0.9410604639545099
short_range,away_HQ,2.0,2,2923,1557,2,0.7327512444408367,,0.8759938491756439,0.8409728101071131,0.8126361747964843,0.17300863975495592,0.43672106901863494,0.8714677945406886,0.9405158346324587,0.783012900639426,0.8427356712771904,0.770393522959034,0.824552532831588,0.777232678320007,0.854398297500773,0.8734469150567927,0.9405783569390826,0.8713639459336333,0.9401140789158507
long_range,iso,10.0,0,2923,1567,243,-0.213173646658284,0.5515320094118008,0.8759938491756439,0.8409728101071131,0.7602508315873294,0.20017640930276775,0.47816532636267944,0.8488800444270649,0.8728892800430499,0.7262719903139334,0.7716441673983392,0.6981195960797167,0.7652746770278729,0.6994634557798536,0.7839907819364531,0.8526675991774499,0.8881518193417157,0.847759897517701,0.8898825719149019
long_range,iso,10.0,1,2923,1544,239,-0.1949587485476022,0.5898009681592948,0.8759938491756439,0.8409728101071131,0.8001222069006977,0.17882564401476742,0.6505144727409047,0.8619885068723332,0.8755177304936084,0.729465813205481,0.7783401762985261,0.6954192135980664,0.7842355989428851,0.7116005439143787,0.7925726815726809,0.8659302100636008,0.8881721837930174,0.8546132441507335,0.8892584422896892
long_range,iso,10.0,2,2923,1592,251,-0.2019505320728722,0.5272655452606222,0.8759938491756439,0.8409728101071131,0.7915953263688843,0.18133123440294127,0.615064442071284,0.8546720486446971,0.8685335257435728,0.7321234474125916,0.7616185671872608,0.692217024459966,0.7638672927689213,0.695837890531577,0.7745869073953116,0.8597563331203272,0.8836428053230152,0.8575666099636354,0.8843153784715805
long_range,toward_HQ,10.0,0,2923,1567,243,-0.09537918684963272,0.6619617595446075,0.8759938491756439,0.8409728101071131,0.7478092591860516,0.2063128735720213,0.4920033868527627,0.8505092686324428,0.8864963534865963,0.7262719903139334,0.7716441673983392,0.6919353345223017,0.7632208153632659,0.6994634557798536,0.7839907819364531,0.8526675991774499,0.8881518193417157,0.847759897517701,0.8898825719149019
