learner,species,strategy_vs_all,schoener_D,warren_I,range_top30_pct,range_top10_pct,top10_jaccard,mean_abs_diff
rf,Procambarus clarkii,ipw,0.8455577656481239,0.9765038683647452,-28.645225795700707,-30.550000000000004,0.7286084701815039,0.03313770686880873
rf,Procambarus clarkii,ipw_str,0.8442105346287198,0.9760107652058865,-28.478586902182958,-31.1,0.7316017316017316,0.03328288966550334
rf,Procambarus clarkii,filter->ipw,0.8993385517838046,0.9912504183500779,-14.98333333333333,-16.891554222888555,0.8030644434429923,0.01896351661122999
rf,Austropotamobius pallipes,filter,0.7646315020492686,0.932764354970645,-11.466666666666663,-22.10000000000001,0.5772870662460567,0.02956431458415804
rf,Austropotamobius pallipes,trust,0.8266483333047461,0.9709298381613535,-6.949999999999994,-21.95000000000001,0.7174753112924002,0.024815411764812213
rf,Austropotamobius pallipes,ipw,0.7551694513640281,0.9257324138287824,-11.21666666666667,-8.95,0.5655577299412916,0.03495650980169177
rf,Austropotamobius pallipes,ipw_str,0.7563829714624145,0.9266438340296823,-10.283333333333331,-8.199999999999998,0.5667841754798276,0.03494581772600599
rf,Austropotamobius pallipes,filter->ipw,0.9130056679398173,0.9906727318499664,0.5000000000000004,10.7,0.8441678192715537,0.012073748428338816
rf,Austropotamobius torrentium,filter,0.6903041860615351,0.9184190044250682,-8.533333333333339,-39.25000000000001,0.5972055888223553,0.03331090738412518
rf,Austropotamobius torrentium,trust,0.8005532629421568,0.9685153160934016,-5.683333333333337,-16.800000000000008,0.8140589569160998,0.025100392547536574
rf,Austropotamobius torrentium,ipw,0.7293846932645376,0.9345385922642704,-7.949999999999994,-33.65,0.6474464579901154,0.02953343251892682
rf,Austropotamobius torrentium,ipw_str,0.7330433479457834,0.9355684918531414,-7.833333333333322,-33.45,0.6611295681063123,0.029391519979036194
rf,Austropotamobius torrentium,filter->ipw,0.8896861411158513,0.9843387387058083,0.7666666666666748,4.347826086956529,0.807953004970628,0.0091853860293788
xgb,Pacifastacus leniusculus,filter,0.7276602334691615,0.9142125298973663,-21.366666666666664,-37.550000000000004,0.5841584158415841,0.02892546318452487
xgb,Pacifastacus leniusculus,trust,0.8373420455051721,0.9752895287669265,-3.816666666666672,-31.900000000000013,0.7323516673884799,0.022129392133398325
xgb,Pacifastacus leniusculus,ipw,0.730510925291249,0.915354525950513,-20.14999999999999,-32.550000000000004,0.5804030027657052,0.028990020897485192
xgb,Pacifastacus leniusculus,ipw_str,0.7314068411586498,0.9150830507395822,-19.21666666666666,-30.550000000000004,0.5797788309636651,0.02887382442901189
xgb,Pacifastacus leniusculus,filter->ipw,0.9018318724087591,0.989771153485912,0.600000000000008,6.8,0.8390804597701149,0.009387223679311956
xgb,Astacus astacus,filter,0.47748431083476295,0.758433569954083,-36.8,-64.25,0.47712177121771215,0.034744497032972686
xgb,Astacus astacus,trust,0.8128638752129698,0.97167392185598,-3.7166666666666646,-20.100000000000005,0.8458698661744347,0.020208574123009748
xgb,Astacus astacus,ipw,0.4786782399671984,0.7583556039618596,-38.13333333333333,-63.25,0.47928994082840237,0.03415577292811217
xgb,Astacus astacus,ipw_str,0.4786782399671984,0.7583556039618596,-38.13333333333333,-63.25,0.47928994082840237,0.03415577292811217
xgb,Astacus astacus,filter->ipw,0.9020430180252389,0.9895573953899781,0.2666666666666743,0.9485771342985446,0.8575406032482599,0.0033769579202461955
xgb,Faxonius limosus,filter,0.7883924834607365,0.9424441337418356,-15.29745042492918,-23.500000000000004,0.639344262295082,0.030918093869891437
xgb,Faxonius limosus,trust,0.8440423898498977,0.9771405493972154,-14.464255957340443,-36.85000000000001,0.7513134851138353,0.030007806773959693
xgb,Faxonius limosus,ipw,0.7906764090293262,0.9427230290833051,-14.997500416597228,-20.350000000000005,0.6313213703099511,0.032195528525382454
xgb,Faxonius limosus,ipw_str,0.790596039517,0.9427516814510968,-14.69755040826528,-19.25,0.6339869281045751,0.032394469608380494
xgb,Faxonius limosus,filter->ipw,0.909133836635976,0.9911455199984914,0.2666666666666743,5.24999999999999,0.8315018315018315,0.013531425183590545
xgb,Pontastacus leptodactylus,filter,0.7264799084180859,0.9294332729951837,-30.349999999999998,-45.7,0.5968063872255489,0.024372187553256687
xgb,Pontastacus leptodactylus,trust,0.8325954137073645,0.975765218272043,-8.700000000000005,-30.90000000000001,0.6927634363097757,0.017773798826904885
xgb,Pontastacus leptodactylus,ipw,0.7362819977726804,0.9338249008217001,-29.15,-45.25,0.5980823012385138,0.024080949938719856
xgb,Pontastacus leptodactylus,ipw_str,0.7401132475178627,0.9344766875262366,-28.61666666666666,-44.40000000000001,0.5946592267835791,0.023707656217910517
