build,beta,rho,winner,best,margin,rec_ALL,rec_FILTER,rec_IPW_est,rec_IPW_oracle
B_magfix,2.0,0.0,ALL,ALL,0.006404885496793189,0.9968151522513014,0.9004675018409174,0.9904102667545082,0.9911538399156057
B_magfix,2.0,0.25,TIE,ALL,0.000993469844069117,0.9914037365985773,0.9004675018409174,0.9904102667545082,0.9911538399156057
B_magfix,2.0,0.5,IPW_est,IPW_est,0.08177087682272999,0.9086393899317782,0.9004675018409174,0.9904102667545082,0.9911538399156057
B_magfix,2.0,0.75,IPW_est,IPW_est,0.08994276491359077,0.8467378697931462,0.9004675018409174,0.9904102667545082,0.9911538399156057
B_magfix,2.0,1.0,IPW_est,IPW_est,0.08994276491359077,0.8426363844957943,0.9004675018409174,0.9904102667545082,0.9911538399156057
B_magfix,2.5,0.0,ALL,ALL,0.014951319675311603,0.9968815216150085,0.8816982599085554,0.9819302019396969,0.9834206500103216
B_magfix,2.5,0.25,ALL,ALL,0.008541465789804525,0.9904716677295015,0.8816982599085554,0.9819302019396969,0.9834206500103216
B_magfix,2.5,0.5,IPW_est,IPW_est,0.07606722081633344,0.9058629811233635,0.8816982599085554,0.9819302019396969,0.9834206500103216
B_magfix,2.5,0.75,IPW_est,IPW_est,0.1002319420311415,0.8406552117677792,0.8816982599085554,0.9819302019396969,0.9834206500103216
B_magfix,2.5,1.0,IPW_est,IPW_est,0.1002319420311415,0.8354337351682546,0.8816982599085554,0.9819302019396969,0.9834206500103216
B_magfix,3.0,0.0,ALL,ALL,0.02704810882514308,0.9973698432650666,0.8640876621944097,0.9703217344399235,0.970217494573776
B_magfix,3.0,0.25,ALL,ALL,0.020057015603480277,0.9903787500434038,0.8640876621944097,0.9703217344399235,0.970217494573776
B_magfix,3.0,0.5,IPW_est,IPW_est,0.07218995309275755,0.898131781347166,0.8640876621944097,0.9703217344399235,0.970217494573776
B_magfix,3.0,0.75,IPW_est,IPW_est,0.10623407224551384,0.8315694452898609,0.8640876621944097,0.9703217344399235,0.970217494573776
B_magfix,3.0,1.0,IPW_est,IPW_est,0.10623407224551384,0.826390345819002,0.8640876621944097,0.9703217344399235,0.970217494573776
B_magfix,4.0,0.0,ALL,ALL,0.04449728147877041,0.9966494075901642,0.8463906452038646,0.9521521261113938,0.9536075004646989
B_magfix,4.0,0.25,ALL,ALL,0.036352783537872635,0.9885049096492664,0.8463906452038646,0.9521521261113938,0.9536075004646989
B_magfix,4.0,0.5,IPW_est,IPW_est,0.05774784420674106,0.8944042819046527,0.8463906452038646,0.9521521261113938,0.9536075004646989
B_magfix,4.0,0.75,IPW_est,IPW_est,0.10576148090752913,0.8255981628326662,0.8463906452038646,0.9521521261113938,0.9536075004646989
B_magfix,4.0,1.0,IPW_est,IPW_est,0.10576148090752913,0.8211534960041064,0.8463906452038646,0.9521521261113938,0.9536075004646989
C_propfix,0.0,0.0,TIE,FILTER,5.6695686307728366e-05,0.9985699059614771,0.9990793897170385,0.9990226940307307,0.9991129504215295
C_propfix,0.0,0.25,TIE,FILTER,0.002639918076758563,0.9927964060238355,0.9990793897170385,0.9964394716402799,0.9991129504215295
C_propfix,0.0,0.5,FILTER,FILTER,0.020349135852839928,0.9682700786386856,0.9990793897170385,0.9787302538641985,0.9991129504215295
C_propfix,0.0,0.75,FILTER,FILTER,0.05040914168298094,0.9232901142838137,0.9990793897170385,0.9486702480340575,0.9991129504215295
C_propfix,0.0,1.0,FILTER,FILTER,0.07666449897483663,0.8566276970034938,0.9990793897170385,0.9224148907422018,0.9991129504215295
C_propfix,0.5,0.0,TIE,ALL,0.0011424822661130207,0.9977964360666328,0.9866670973135935,0.9966539538005198,0.9989730094817107
C_propfix,0.5,0.25,TIE,ALL,0.0003687482663952135,0.9924013850865647,0.9866670973135935,0.9920326368201695,0.9989730094817107
