beta,rho,D,seed,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc
0.0,0.5,10.0,3,0.597,0.8935490597296439,0.9899443825390137,0.9783056381729021,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9703023930521688,0.9992744237226863,0.9974687386822223,0.9995189380426345,1.0661577733778962,1.7540759562298316,0.5133372957979864
0.0,0.5,10.0,4,0.5966666666666667,0.8834978126558692,0.9884542027439914,0.9656018027393465,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.9831380936462677,0.9997346040322473,0.9992766346298146,0.9988297543629109,1.083592666342018,1.7901559864983834,0.5253970635763424
0.0,0.5,10.0,5,0.5986666666666667,0.894118388736479,0.9903779390703705,0.974883397304357,0.9825681429631145,0.999746873982769,0.99918791110797,0.9826282140346403,0.9997493890452662,0.9991931922523586,0.989372753215598,0.9998971239195606,0.9996479289891116,0.9990271519443451,1.0529467653550073,1.7378671124609606,0.5218434838585561
0.0,0.5,10.0,6,0.6106666666666667,0.8762133457012901,0.9866302837945115,0.9659289046723711,0.9823300249842519,0.9996872495199879,0.9991488025506859,0.9829500788490968,0.99970654955868,0.9991712001947631,0.9878999060038813,0.9998489013491817,0.9997281802495147,0.9988916995513378,1.1098059516389809,1.7628501765083022,0.5230704055003889
0.0,0.5,10.0,7,0.5916666666666667,0.8741453739912881,0.9867927507843426,0.9577396192940554,0.9857107197228532,0.9998146183047919,0.9996851053695642,0.9855005026953333,0.9998092029619053,0.9996856305997343,0.987592140706686,0.9998418486712266,0.9995367971351231,0.9990699102408194,1.2684879477209345,1.8847433176274508,0.5219729807415925
0.0,0.75,10.0,0,0.6006666666666667,0.8369058276866593,0.9774776089661864,0.9254164713272252,0.9745676435997241,0.9994918167968668,0.9984849984777698,0.9758214582375306,0.999541146269307,0.9986154394972655,0.987655528672787,0.9998644264306731,0.9995504493937785,0.9977020181656152,1.4214133917899103,1.9504877952622197,0.5324498007222545
0.0,0.75,10.0,1,0.607,0.8349207698569218,0.9767242157754975,0.9232812550132274,0.9904062772939096,0.999891302842697,0.9996017122489097,0.9903775161665879,0.9998903685116189,0.9995989908338627,0.9928427036521882,0.9999495390017966,0.9998262036902636,0.9996604313988056,1.1022260035223526,1.7224099391998104,0.5108935475712392
0.0,0.75,10.0,2,0.604,0.8223698145049707,0.9730603017266588,0.9152034565346963,0.9853167405714123,0.99977303428716,0.9994712917865792,0.9852064612444665,0.9997696733690453,0.9994410171934182,0.9818736683961982,0.9996396896242177,0.999412478841362,0.9994448440304466,1.1489233001509918,1.8333640178092254,0.5138031808147702
0.0,0.75,10.0,3,0.597,0.8472893872457967,0.9795259677320978,0.9397430810135259,0.9740694035081978,0.9994223458195243,0.9980590558327623,0.9750002175514846,0.9994604888049508,0.9981710183525788,0.9703023930521688,0.9992744237226863,0.9974687386822223,0.9995189380426345,1.0661577733778962,1.7540759562298316,0.5133372957979864
0.0,0.75,10.0,4,0.5966666666666667,0.8339282945915529,0.9763880987269206,0.9209729890220707,0.9799691663835572,0.9996550374853792,0.9989962403620662,0.9802564545578607,0.9996655864496098,0.999027114448255,0.9831380936462677,0.9997346040322473,0.9992766346298146,0.9988297543629109,1.083592666342018,1.7901559864983834,0.5253970635763424
