geom,beta,rho,D,seed,fixed_magnitude,error_mode,propensity_on,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_lowq_dE1_shift,diag_realised_disp
toward_HQ,1.0,0.5,10.0,2,1,blend,obs,0.6066666666666667,0.8403447982155847,0.9775899029046705,0.9222618347715081,0.8645962469483989,0.9841366048922603,0.9513984658288837,0.9887882836835458,0.9998588592588381,0.9996033060175087,0.8558130367089694,0.9824584934381182,0.9386966727623126,0.8613397860444507,0.9468890273685979,0.9518486475375558,4.4978797542640665,3.265180839364461,0.605906360588564,0.22668306065796898,0.11383769927682158,0.4336130889838565,9.815081041230501
toward_HQ,1.0,0.5,10.0,3,1,blend,obs,0.5996666666666667,0.8582498984886233,0.9820966783097599,0.9393541587474028,0.8862253821046956,0.9885764960951698,0.9671985557780435,0.9770803376940421,0.9995358507274683,0.9993012968858549,0.8794026895423832,0.9877277638404877,0.957687068329143,0.8636914727776881,0.9571551710719343,0.9527948717006006,6.239686460275979,2.877533066121286,0.5929332560090975,0.22825230021598866,0.0786244870792516,0.4554084688881947,9.896060265130183
toward_HQ,1.0,0.5,10.0,4,1,blend,obs,0.598,0.845418736875422,0.979378400893373,0.9279347522353608,0.8711932788785307,0.9855844280539828,0.9586981270360155,0.9924415102578563,0.9999415422400906,0.9999347188834149,0.8594289881112397,0.9834294219214064,0.9422288486760294,0.85543838095371,0.941803239971869,0.9535348876855749,3.0276323430172525,3.5028942376165833,0.6101194602979159,0.22822881059860167,-0.013324233668560576,0.4406344323566915,9.85765063993709
toward_HQ,1.0,0.5,10.0,5,1,blend,obs,0.5976666666666667,0.8516792391035417,0.9811365239572397,0.9340152649072879,0.8749877409873955,0.9865451042717538,0.9597141225080896,0.9920101463814899,0.9999377401149496,0.9999655912272405,0.8622393319874652,0.9840283724241163,0.944811474840115,0.8575011257123184,0.954193734633748,0.9615988297426411,4.092490629484395,3.073373541272734,0.587734866929341,0.23166258959246497,-0.04823901309963905,0.4574644582311789,9.802398948975869
toward_HQ,1.0,0.5,10.0,6,1,blend,obs,0.6103333333333333,0.8510776503939368,0.9815663870496112,0.9363272122195946,0.8721860789603568,0.9862811496318946,0.9567216373994394,0.9905319328404967,0.9998923335623562,0.9996168412124032,0.8614272218476535,0.9841394245621652,0.9445368860550013,0.8557875866184755,0.9535027835342845,0.9659233776110215,2.853861437232383,3.1755705649110335,0.5918804506925915,0.22799766522715254,0.03413224315323854,0.43856443717477633,9.837365701333047
toward_HQ,1.0,0.5,10.0,7,1,blend,obs,0.6033333333333334,0.8312501081529404,0.9756055340266162,0.9145094040984775,0.8501112400309618,0.9801122755880108,0.9445647270677601,0.9594249034537108,0.9982293893805226,0.9960754133898932,0.837347822548238,0.9774938007205045,0.9233482861195633,0.8621972046108467,0.9454112769482909,0.9360778964348625,5.942072691049445,3.368135057956191,0.5957203212776823,0.2290178655119613,0.0363765537029532,0.46652361901705186,9.886406559634654
toward_HQ,1.0,1.0,10.0,0,1,blend,obs,0.602,0.7818712220601266,0.9610624692409376,0.8604522598447548,0.8616424943736767,0.9828022915005776,0.9533261150112837,0.952936385433316,0.997916641396699,0.9951914390173495,0.7965640664523641,0.9661744940653568,0.8843711677977981,0.8098024100254458,0.9050112674864637,0.9121582386568734,3.975089315751122,3.9821995963297643,0.6691442168390865,0.2168071365107618,-0.7540038074048281,0.7009996699757477,9.951811280416281
toward_HQ,1.0,1.0,10.0,1,1,blend,obs,0.596,0.7775461990723069,0.9592235986713369,0.8530791334282651,0.8535237546379304,0.9813694213896573,0.9473165223626675,0.9669851185698557,0.9988904878474958,0.9975414661710895,0.792120752537628,0.9647203375816743,0.8787906688919688,0.8122731943230235,0.9088684065682291,0.8975122254710184,5.698594491534143,4.152588324132452,0.6644747528444119,0.21852336236698436,-0.6773639864584138,0.66871224862031,9.927976017165292
toward_HQ,1.0,1.0,10.0,2,1,blend,obs,0.6066666666666667,0.7758876485328283,0.9584837860300819,0.8493480486609525,0.8645962469483989,0.9841366048922603,0.9513984658288837,0.9887882836835458,0.9998588592588381,0.9996033060175087,0.7928808184527808,0.9651146352200579,0.8769808238145536,0.7968798389702557,0.9040311198973409,0.6663625178274446,27.354567079932778,4.120163814938536,0.6769724343453156,0.21419065021466674,-0.727060594000441,0.6822139039130227,9.957343414498594
toward_HQ,1.0,1.0,10.0,3,1,blend,obs,0.5996666666666667,0.803878752717961,0.9685319443358067,0.8868676068327315,0.8862253821046956,0.9885764960951698,0.9671985557780435,0.9770803376940421,0.9995358507274683,0.9993012968858549,0.8145246036001108,0.9721944842610517,0.9032307431565946,0.7997940461387458,0.904264295235686,0.8354628612475621,9.074843847947296,4.105097040531594,0.6757348309427154,0.21605321488783844,-0.6776808682574845,0.691869384862689,9.956750219979583
toward_HQ,1.0,1.0,10.0,4,1,blend,obs,0.598,0.784578114798092,0.9619976576218019,0.8627534682258658,0.8711932788785307,0.9855844280539828,0.9586981270360155,0.9924415102578563,0.9999415422400906,0.9999347188834149,0.7988163873729972,0.967174985989688,0.8864847735866315,0.794496199958928,0.9016336201774989,0.86581123619732,6.88648522651948,3.9891753916299644,0.6872415144640972,0.2140132525606052,-0.8571854981955523,0.6749035658116507,9.9435827342259
toward_HQ,1.0,1.0,10.0,5,1,blend,obs,0.5976666666666667,0.7890068532579498,0.9637141247812452,0.869341482926556,0.8749877409873955,0.9865451042717538,0.9597141225080896,0.9920101463814899,0.9999377401149496,0.9999655912272405,0.8010423958197419,0.9679813387564462,0.888539887898363,0.7958593747211162,0.9044451082290621,0.9078782104033026,5.540803882010719,3.9128029977283245,0.6734426109823205,0.2175155289158728,-0.8548077912784418,0.6898203301050572,9.942885125358192
toward_HQ,1.0,1.0,10.0,6,1,blend,obs,0.6103333333333333,0.7806900175159017,0.9608064503199639,0.8572897636648785,0.8721860789603568,0.9862811496318946,0.9567216373994394,0.9905319328404967,0.9998923335623562,0.9996168412124032,0.7998977952883659,0.9675991931241388,0.887209910992895,0.795327942016355,0.9112144251772025,0.9156497198659469,4.762569285196416,3.495326150361487,0.6719016519508382,0.2148444468960237,-0.8711407249863132,0.6901327058222684,9.949493345425285
