env_var,mean_all,mean_high,SMD_all_to_high,KS_high_vs_low
l_CLI59,28.19363201295794,26.47053271311644,-0.08465651636001881,0.1470267324318837
l_CLI57,28.14357765545576,26.42771148428904,-0.08435684143979288,0.1464979746625688
l_SOL3,39.22449995347081,39.02699693760352,-0.0835556457920665,0.2258604570018758
l_SOL1,38.657413503998875,38.48165342811892,-0.07933296817365765,0.2164818172488701
l_SOL25,1501.98674357151,1508.2904138406298,0.07720892099969745,0.23953225293214253
l_SOL36,0.4289082584915765,0.38618393360173137,-0.07463962111775342,0.2020024575926463
l_SOL27,1519.2747343578535,1524.6351919178362,0.0744916196008691,0.23591725983059209
l_CLI22,-0.07875503700387164,-0.4563859369143908,-0.07385159845642214,0.14185112965334024
l_SOL26,1534.39606872273,1539.2029668854957,0.07277139685715965,0.22455160717244727
l_TOP74,43344.1463386798,37454.35145624025,-0.07165723683931564,0.11207112182788614
l_CLI23,-0.13407229494236522,-0.5002438806475402,-0.07153490644997841,0.14146475550379023
l_TOP32,224.19052379923974,212.5558322621595,-0.07130827337523991,0.10946737136169526
l_TOP36,224.19068059732942,212.5570757510911,-0.07130187784554576,0.10947423840611337
l_TOP35,460.43333350891527,436.0270657176018,-0.07084585819078594,0.11740076104013952
l_TOP76,11061.557415057898,9592.919672699576,-0.0708077505318194,0.09431137877375917
l_SOL14,42.51892333219205,41.62759179330939,-0.07039702334879006,0.15596920789377478
l_SOL44,0.8933090064701907,0.8573038289023489,-0.06991022787007571,0.11258996738019034
l_CLI64,1.3487077668624405,1.1636291767920397,-0.06943346789257535,0.08401778616129263
l_TOP34,859.7309559552968,814.0522771511129,-0.06933849838830057,0.10522794928378182
l_SOL23,10.404842771734836,9.929493726500066,-0.06933610558324949,0.18022052872488747
l_CLI21,-0.20161842555769166,-0.5553220170952572,-0.06895252920268442,0.13672737387406142
l_CLI5,8.74449419263083,8.86679723864447,0.0688034656228201,0.2742296261564974
l_CLI29,15.350198407472764,15.795796912214525,0.06864994851982396,0.24103098130690281
l_SOL21,8.916747873265033,8.494323745964962,-0.06843134354033054,0.18630386036238875
l_CLI12,0.05331359969097596,0.04812443630384583,-0.06819643918472224,0.12200529105656155
l_CLI52,0.4948519915369557,0.42854165004291955,-0.0681517877697892,0.08542974281393156
l_CLI7,8.760840294275154,8.881047045809002,0.06790738702595261,0.27424976220039105
l_CLI24,0.04134748083963234,0.03392559331664914,-0.06701467526650144,0.13657575125413612
l_CLI6,8.776939959791761,8.895084206835685,0.06700285831076348,0.2724366845772812
l_CLI31,15.455881410273294,15.88738206327905,0.06670245012103206,0.2399872824104713
