build,beta,rho,D,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_lowq_dE1_shift,diag_realised_disp
B_magfix,0.0,0.75,10.0,1.0,0.6007916666666666,0.7911183429642785,0.9623659318345043,0.8682693668445167,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9850846484182219,0.9997563195939487,0.9993059264513988,0.9891391023360558,0.9888601032296455,0.9990180934671143,1.1566942249872614,1.804494287699523,0.5203459698228913,0.239466985496005,-0.035972190938804494,0.6242754234259085,9.909803103288553
B_magfix,0.0,1.0,10.0,1.0,0.6007916666666666,0.7846300802415983,0.9598794659321894,0.8566276970034938,0.9818672648783776,0.999685284879897,0.9990793897170385,0.9822176129171251,0.9996990506212979,0.9991129504215295,0.9850846484182219,0.9997563195939487,0.9993059264513988,0.9891391023360558,0.9888601032296455,0.9990180934671143,1.1566942249872614,1.804494287699523,0.5203459698228913,0.239466985496005,-0.035972190938804494,0.6443666934533261,9.91969942192913
B_magfix,0.5,0.0,10.0,1.0,0.6025833333333334,0.8925085372955965,0.9889047226175548,0.9977964360666328,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.012031864351917587,9.828117493464031
B_magfix,0.5,0.25,10.0,1.0,0.6025833333333334,0.8949087368451074,0.9896380889851825,0.9950542565892273,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.12315107991682969,9.833515323709129
B_magfix,0.5,0.5,10.0,1.0,0.6025833333333334,0.8519062360776788,0.981687018747065,0.939704892680761,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.4282355312995799,9.833734076651991
B_magfix,0.5,0.75,10.0,1.0,0.6025833333333334,0.7948118910262207,0.9655003467747765,0.8753282413888814,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.6517920584313492,9.925812770922189
B_magfix,0.5,1.0,10.0,1.0,0.6025833333333334,0.789714068351813,0.963700451430505,0.8679159533578842,0.9309017650610134,0.9958826410792173,0.9866670973135935,0.981995045186718,0.9996474785506905,0.9989730094817107,0.9849601862377558,0.9997330526364833,0.9992213195712606,0.9906978897613715,0.929882120374435,0.9608101041923576,2.5874269056093477,2.7752145595848914,0.6295239161827572,0.22716931807181093,0.8983932143682163,0.6697486252525005,9.934684174855276
B_magfix,1.0,0.0,10.0,1.0,0.6017083333333333,0.8877532143040618,0.9880062659258765,0.9984507279317582,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.033562311697434774,9.796239392082843
B_magfix,1.0,0.25,10.0,1.0,0.6017083333333333,0.8935986239225878,0.9894184699107414,0.9944572249186698,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.14142434453590186,9.809431726652006
B_magfix,1.0,0.5,10.0,1.0,0.6017083333333333,0.8461944252216794,0.9794355624186651,0.9285486662261395,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.44400082304682903,9.846914307832181
B_magfix,1.0,0.75,10.0,1.0,0.6017083333333333,0.7880679932608685,0.9629780150394119,0.8673292220952289,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.6678984629297529,9.940420674296046
B_magfix,1.0,1.0,10.0,1.0,0.6017083333333333,0.7829223809174799,0.9613280695191366,0.8605979982728844,0.8668082771152433,0.9844259714279134,0.9548672841240229,0.9775248272892891,0.9992753555660525,0.9984037591005943,0.9777016050920051,0.999397765497146,0.998718884677899,0.9889022565905344,0.8761702693128558,0.8220923919888612,8.254489940475988,4.622430983068236,0.7356895238768818,0.19989337709208044,1.8564932047933578,0.6870819429437913,9.94801671711191
B_magfix,1.5,0.0,10.0,1.0,0.6030416666666667,0.8862136147503707,0.9876065845587263,0.9975795674738608,0.8218776427417906,0.9712820458327619,0.9250927213145121,0.9625399120960701,0.9982290048937751,0.9960982290921876,0.9610683225135193,0.9981850161800747,0.9960952093774103,0.9884902870534709,0.8457234118253267,0.6584546294778512,14.122476027547528,6.520959642369852,0.8046024871622665,0.1738898399885119,2.7488855735721494,0.04874754410713131,9.804782398842699
B_magfix,1.5,0.25,10.0,1.0,0.6030416666666667,0.8939519560819227,0.9893990040350165,0.9918991297549378,0.8218776427417906,0.9712820458327619,0.9250927213145121,0.9625399120960701,0.9982290048937751,0.9960982290921876,0.9610683225135193,0.9981850161800747,0.9960952093774103,0.9884902870534709,0.8457234118253267,0.6584546294778512,14.122476027547528,6.520959642369852,0.8046024871622665,0.1738898399885119,2.7488855735721494,0.16000713764813101,9.819958609217952
