name,unit,n,retain,med_unc_low_m,rho_bar_u,contamination_scale,auc,brier,ess_p99,dess,eff_coef_obs,eff_coef_calib,coef_gap,calib_coverage,smd_before,smd_after
aves,group,28832,0.43493340732519425,250.0,0.9880882725496023,0.011911727450397702,0.6270441975807541,0.23742730525063285,0.8117709747284745,0.002044504300929284,0.1171379607035248,0.11429135643452641,0.0028466042689983817,0.20715688681561503,0.12027358756258105,0.022526712026364182
coleoptera,group,39898,0.5074439821544939,250.0,0.9813337193583034,0.01866628064169662,0.6070976012952348,0.2500687164285607,0.8144273721929896,-0.014175789612509537,-0.02950426522383098,-0.044299833164937893,0.014795567941106914,0.30973946672094443,0.08038738529339165,0.010882253210811434
Coccinella septempunctata,species,3456,0.7120949074074074,250.0,0.9843815608133942,0.01561843918660577,0.6078997180130641,0.20429216301260505,0.9304427474610281,0.004226413724964462,0.11911666213411275,0.1156217466226612,0.003494915511451549,0.2241206030150754,0.06695491340621576,0.022234965911679054
Harmonia axyridis,species,2415,0.6434782608695652,250.0,0.9808146670284079,0.019185332971592084,0.5914032499398354,0.22708294558319095,0.9196078030209146,-0.01242797681166441,0.12452045485471651,0.11149203778284966,0.013028417071866846,0.25319396051103366,0.05684043589387827,0.014551727311717264
lepidoptera,group,40288,0.6291699761715648,250.0,0.9859144625479608,0.01408553745203922,0.5880435106371518,0.23407262584802982,0.8632006491851755,-0.0020661982053375993,0.12320401976336212,0.11205324104512521,0.011150778718236914,0.3026773761713521,0.05713419778215295,0.020905996961572002
Aglais io,species,2814,0.6233120113717129,250.0,0.992048417495429,0.007951582504570953,0.6647971751898626,0.22031609957000184,0.8724305592900485,0.0026701233663852797,0.0664062513936102,0.0641134668849209,0.002292784508689305,0.11320754716981132,0.0747425303929074,0.01985193943556071
Aglais urticae,species,2136,0.6989700374531835,250.0,0.9915595251065761,0.008440474893423922,0.5469109863656109,0.21721816778352646,0.9612142008470528,0.0018915373370753663,0.02747538972323434,0.02465068411322829,0.0028247056100060494,0.12752721617418353,0.03427016742384283,0.010651099177188192
Gonepteryx rhamni,species,6906,0.7082247321169997,250.0,0.9930852551480439,0.0069147448519560895,0.5850344457054608,0.2069928598180227,0.9678008634886451,0.0007059290551006958,0.029369084760771224,0.02773308838269855,0.0016359963780726745,0.10024813895781638,0.0406568155737894,0.006140300720603239
Polygonia c-album,species,1663,0.6746843054720385,250.0,0.9925454292018767,0.007454570798123283,0.6046948774468619,0.2204521940372958,0.761558143146828,0.0032947114755016438,0.04892715661833758,0.04691747989339738,0.0020096767249402,0.16635859519408502,0.053280502624085666,0.056834507881301066
Vanessa atalanta,species,1771,0.6860530773574252,250.0,0.9933793125851335,0.006620687414866544,0.551922165970927,0.2279969214657315,0.8878960003301771,-0.008166019887921872,-0.02193868903590417,-0.022676242686499697,0.0007375536505955273,0.11151079136690648,0.02329982093839584,0.06635448148931869
odonata,group,42271,0.6439876037945637,250.0,0.9863262137108426,0.013673786289157386,0.6827473522085832,0.2097644322988123,0.8811916802245755,-0.001275239420010843,0.11445268633557484,0.1085446544763675,0.005908031859207338,0.2790218619177354,0.08044765489540526,0.0052416854349553385
Calopteryx splendens,species,2278,0.6360842844600527,250.0,0.9872831436128036,0.01271685638719644,0.68979563294348,0.20974608446139387,0.8520152978071499,-0.008473586156058088,0.16828342124381043,0.15196838868329912,0.01631503256051131,0.3486127864897467,0.10679767154311613,0.0176124593018973
