part,regime,corr_len,D,grain,beta,rho,fixed_magnitude,retain_obs,D_ALL,I_ALL,rho_sp_ALL,D_FILTER,I_FILTER,rho_sp_FILTER,D_IPW_oracle,I_IPW_oracle,rho_sp_IPW_oracle,D_IPW_est,I_IPW_est,rho_sp_IPW_est,D_IPW_calib,I_IPW_calib,rho_sp_IPW_calib,D_ALL_calib,I_ALL_calib,rho_sp_ALL_calib,D_SMITH_env,I_SMITH_env,rho_sp_SMITH_env,D_SMITH_geo,I_SMITH_geo,rho_sp_SMITH_geo,D_IPWest_vs_IPWoracle,D_IPWest_vs_FILTER,diag_ess_frac,diag_w_max_over_mean,diag_w_p99,diag_propensity_auc,diag_prop_brier,diag_prop_coef_E1,diag_prop_coef_E1_calib,diag_prop_coef_E1_true,diag_true_sep_E1,diag_obs_sep_E1,diag_pooled_var_E1_true,diag_pooled_var_E1_obs,diag_rho_D,diag_grain,diag_corr_len,pred_mu_delta,pred_pooled_var_obs,pred_reliability,rho_sp_IPW_k0.25,rho_sp_IPW_k0.5,rho_sp_IPW_k1,rho_sp_IPW_k2,rho_sp_IPW_k4,env_width_D,env_best_rec,env_best_kappa,diag_ess_frac_calib,diag_w_max_over_mean_calib,diag_w_p99_calib,diag_lowq_dE1_shift,diag_realised_disp,rel_real
A,away_HQ,24.0,3.0,1,3.0,1.0,1.0,0.6025555555555555,0.9422553141782181,0.9967752648103753,0.9919851546127093,0.7350465403387827,0.9360647175501319,0.8796619919193595,0.9022931897799866,0.9904664336651375,0.9839897361146294,0.9075358611937263,0.9917856083670819,0.983233988519835,0.9081411955149231,0.991878683741673,0.9835469381514074,0.9434516922285895,0.9969087211932025,0.9922796382473922,0.9770532024154606,0.9994596993802182,0.9985723277938039,0.9741469015532592,0.9993265296516333,0.9981827432820487,0.9813642245201404,0.8161409959480168,0.11757117267347172,167.75870024628247,10.38581816029991,0.948131280068901,0.08700985141525358,6.816287292088481,6.8476434392745835,5.67435686999196,0.7139888526123848,0.8444171109541495,0.16227669138148088,0.1618516579717601,0.9945163760481984,1.0,24.0,0.0022355593875273937,0.1660732134903812,0.9770747258483441,0.921238713534338,0.9431622499902818,0.9832449213932198,0.9222123713834666,0.7712221487659982,0.4150213804723269,0.9832449213932198,1.0,0.1191904921534746,164.34106529991467,10.433922102726049,-0.13042825834176494,2.986521334370128,1.0026531680999369
A,away_HQ,24.0,6.0,1,3.0,1.0,1.0,0.6025555555555555,0.8933972128258859,0.9889622305318678,0.9720629437420852,0.7350465403387827,0.9360647175501319,0.8796619919193595,0.9022931897799866,0.9904664336651375,0.9839897361146294,0.8944386501219141,0.989631994915816,0.975792095768349,0.8980007229759351,0.9902777091991185,0.9775342821760701,0.89846328613242,0.9900029616633796,0.9747091668171021,0.9669643013160375,0.9988556957382647,0.9972323208415,0.9582230645875449,0.9983203252914667,0.9957773884081781,0.9683151898006755,0.8331337218550955,0.08135774910318773,216.60424021056997,9.391926366037062,0.9687256842642484,0.06622418736870402,7.536834001624761,7.682321996276159,5.67435686999196,0.7139888526123848,0.9635796462919158,0.16227669138148088,0.16305504157038775,0.9781592516683522,1.0,24.0,0.008904025288150942,0.17727387523173097,0.9151926599342767,0.9202219753688384,0.9385675633747178,0.9758139490521454,0.933921336967849,0.7550220161961653,0.41350475428659017,0.9762833524359974,1.1666666666666667,0.08466390584731276,214.21519335151052,9.67662576070782,-0.2495907936795312,5.922795120050554,0.995210954798555
A,away_HQ,24.0,10.0,1,3.0,1.0,1.0,0.6025555555555555,0.8364127494168869,0.973814727519839,0.928943391783771,0.7350465403387827,0.9360647175501319,0.8796619919193595,0.9022931897799866,0.9904664336651375,0.9839897361146294,0.865907932568161,0.983665660081411,0.9603182452966063,0.8765763283652346,0.986038057095353,0.9660224839972362,0.851172686145607,0.9783923917342863,0.942996694728298,0.9561157769458534,0.9979415030724912,0.9960691997814995,0.9452454772097503,0.997119159415753,0.9929876056284,0.9406538915707086,0.863462286537303,0.060677048108255444,239.08762558691583,7.4802844851991095,0.9824841105391336,0.047488258218015916,7.976464154082677,8.420889733578013,5.67435686999196,0.7139888526123848,1.0998202329484406,0.16227669138148088,0.166775885281553,0.9386387389483417,1.0,24.0,0.02501596951009058,0.20357041926330197,0.7967835886319916,0.915890936655808,0.9297046753808522,0.9603103413084714,0.9708833217944273,0.7313566759090859,0.4110208410739924,0.9781459233290276,1.5,0.06420468748389022,234.5298039125512,8.23227914231144,-0.38583138033605596,9.697335198327563,0.973003891424855
A,away_HQ,24.0,16.0,1,3.0,1.0,1.0,0.6025555555555555,0.7700121070044291,0.9483699679841139,0.8412425473403816,0.7350465403387827,0.9360647175501319,0.8796619919193595,0.9022931897799866,0.9904664336651375,0.9839897361146294,0.8271058074946973,0.9730228902048977,0.9367877309610705,0.8514290935812442,0.9799102365087009,0.9508354637646311,0.805737955570773,0.9631981157679433,0.8990032645945837,0.9400438324406116,0.9962762824288286,0.9964874926811506,0.9354905534573764,0.9955705511558026,0.9875160097947365,0.9032447668195966,0.903260540666252,0.04290204608937564,270.56510082711196,5.314738717842863,0.990541781433424,0.031138146664062047,7.928518674037321,8.885063899014325,5.67435686999196,0.7139888526123848,1.250491394972366,0.16227669138148088,0.17481488432946723,0.8419969108260638,1.0,24.0,0.06441350557745121,0.2633056258470759,0.6159333023322818,0.9081454207834317,0.9171187878999855,0.9368304702876126,0.986982265692517,0.7624022119199929,0.47650485165015777,0.986982265692517,2.0,0.04414204063259194,262.6457533102653,6.910043941965306,-0.5365025423599811,14.944931563606923,0.9282708204749631
A,away_HQ,24.0,25.0,1,3.0,1.0,1.0,0.6025555555555555,0.7093001569022747,0.9181882520673744,0.7180200884704181,0.7350465403387827,0.9360647175501319,0.8796619919193595,0.9022931897799866,0.9904664336651375,0.9839897361146294,0.7946362199011081,0.962037026109258,0.9161433378147644,0.8407638748899636,0.9769827380565225,0.9437512505197544,0.7802986935406029,0.9528937360806213,0.8782958164116366,0.8583583949134117,0.9811635193205303,0.9790192677591381,0.860151983254197,0.9802155530284239,0.9326311606547449,0.8717584742250118,0.9364316761994322,0.04309183227997876,286.8775107765566,3.6870356533437523,0.9928561730887043,0.02089821491482402,7.289739705289308,8.418497089404276,5.67435686999196,0.7139888526123848,1.3637712459158289,0.16227669138148088,0.18787185530450512,0.6293155344002164,1.0,24.0,0.15110554848305283,0.3719288553414091,0.4360922488275442,0.8992758015600121,0.9056784491090398,0.9161612162623243,0.9457796380341028,0.946144808068115,0.7038718821395572,0.9698901019874326,3.0,0.027172899436973902,307.7182246849375,6.546452360742535,-0.6497823933034442,21.695715825345996,0.8637980587820678
A,iso,6.0,3.0,1,3.0,0.0,1.0,0.6011666666666667,0.9617754436938329,0.9986298997452895,0.9989917320063227,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.8568738459868044,0.9798339724053853,0.9501714758767122,0.85921592924696,0.9804720587328467,0.9536453737749649,0.9740512553924274,0.9993444547039022,0.9991958880985626,0.879754610497319,0.9866399537675522,0.982322317347017,0.9477473850964305,0.9974355853367287,0.99839238477402,0.9593710396888936,0.847694275941611,0.2517203071734802,52.95351004244299,7.057027945166496,0.8766334246408637,0.13269497358647997,3.7459106838711524,3.805384981795649,5.611690461041525,0.7725313571614297,0.7370780914692229,0.1625194811727575,0.20308648477958946,0.9347787608485213,1.0,6.0,0.031367605869462745,0.20598867789421016,0.7888727600204696,0.8814889412463973,0.9042308774893469,0.9501678388529,0.9407926711181576,0.7228786349046047,0.3811322023789594,0.9563770084099322,1.6666666666666667,0.26443176411158553,48.95248391040767,7.16433510025285,0.03545326569220695,2.9794534043617777,0.8003298986768178
A,iso,6.0,6.0,1,3.0,0.0,1.0,0.6011666666666667,0.8871868517276541,0.9885511212187796,0.9979557412414352,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.8142054496085492,0.9681117641453678,0.9045986171526744,0.8267204804515172,0.9714543927800058,0.924726418034136,0.9400004905290085,0.9967275516306033,0.9971716327196117,0.7950182169806799,0.9607975985994379,0.9496826073768064,0.8723448385059439,0.9852411913026339,0.9903192229127985,0.8958339577746259,0.8856226954608436,0.3960133543566317,49.3250789842524,5.44209325959826,0.8140089489672736,0.153843194116936,2.6479954070870395,2.763396802713892,5.611690461041525,0.7725313571614297,0.6498658704524983,0.1625194811727575,0.2946622834209658,0.7631448990652608,1.0,6.0,0.1139112921389624,0.30637576030620733,0.5303863102790917,0.8660912294971905,0.8768192820963009,0.9046018957462197,0.9178175817047435,0.5954424496947125,0.4504202409598845,0.9299464898491281,1.6666666666666667,0.4665608955993819,31.16037082839784,5.446154096231024,0.1226654867089314,5.9232724341205305,0.5516800202469664
A,iso,6.0,10.0,1,3.0,0.0,1.0,0.6011666666666667,0.8005351209399877,0.9644072969273155,0.9843943779201804,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.7744636998884432,0.9573655458984797,0.8580512229713267,0.8049208948142746,0.9652530258588055,0.9107189656456951,0.9225594739758876,0.994936286968387,0.9871392728420951,0.7187060713987726,0.9257292980113409,0.9071619569990245,0.8278538048907559,0.973631575826877,0.9569034054480032,0.8360535769466862,0.8745725950912034,0.4203095245746408,48.99002398387967,5.774036336546556,0.8175752422063715,0.15435563167573865,2.192057207559087,2.2026491530912002,5.611690461041525,0.7725313571614297,0.5066564254825634,0.1625194811727575,0.42436757975303396,0.45899838383501396,1.0,6.0,0.26019181157622356,0.4344225818813971,0.37408650655013126,0.8572982282417319,0.8583662238500223,0.8580517399907186,0.7861887471670169,0.5177029268760202,0.5902416894528332,0.8652720575222353,0.9166666666666666,0.7034868307301959,16.71853013825785,4.395752913967093,0.2658749316788664,9.789070656558787,0.3832620809655031
A,iso,6.0,16.0,1,3.0,0.0,1.0,0.6011666666666667,0.73921379171002,0.9393800212927714,0.9193689880748895,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.750038290205865,0.9490411737308566,0.8255805278202809,0.794477971833671,0.9608048899726395,0.9210698579929703,0.8924708530516535,0.9904999545198486,0.9721614095453818,0.6744658831936748,0.900359202324355,0.8766214034450953,0.784903940597995,0.9596571226065765,0.8919834002744421,0.803452738838359,0.8560566683876806,0.38284648394864823,50.179818130919834,6.834293919897046,0.8309249627786702,0.14993081316006185,1.9418616392413437,1.9000795878616,5.611690461041525,0.7725313571614297,0.34839751244608186,0.1625194811727575,0.5222518355258549,0.09072708614155646,1.0,6.0,0.43736776968689095,0.5041674315671889,0.3223562110087092,0.8531876872570279,0.8488365276204476,0.8255838173553315,0.499535149626261,0.14156405180919407,0.5551699108330527,0.8531876872570279,0.25,0.8535556578594553,9.942225440072148,3.816998208531055,0.42413384471534793,15.42745118551575,0.3112780618731935
A,iso,6.0,25.0,1,3.0,0.0,1.0,0.6011666666666667,0.6977703329843327,0.9184843865183572,0.8333818392138824,0.7261112009595836,0.9320231118061906,0.8584979909532993,0.8848158809445502,0.9866729413992205,0.9720899397487344,0.7422307006272731,0.9459594969084265,0.8146062565135909,0.7918320054509788,0.9592504022891727,0.9422815655746702,0.8472922956646712,0.9787292460780824,0.9643957002612669,0.6630998281763206,0.8934096840151716,0.8685527260249227,0.7612115496227156,0.9511309137905389,0.8321124526910829,0.7942582469686167,0.8521174477632041,0.3822578782916624,50.78408955596211,6.930279069948717,0.8404110704220501,0.14470686159825394,1.850437495086181,2.0857665430053847,5.611690461041525,0.7725313571614297,0.28261716484802124,0.1625194811727575,0.5676650011608192,-0.06277670526631585,1.0,6.0,0.5111704014647889,0.5056614032655715,0.3214084553321162,0.8517204327633406,0.8454432500117628,0.8146021352459081,0.40951984506295375,-0.02021935559020135,0.5316027732265837,0.8517204327633406,0.25,0.8347622888423052,8.890568283264857,4.314891921540395,0.4899141923134085,23.4674935828961,0.28646107964181755
